94,"Government Noor Jahan Girls HighSchool",Muzaffarabad,212020806,,,811,0,811,2,0,2
"",,Muzaffarabad,212020807,,,391,0,391,,,
94 Total,,,,,,1202,0,1202,2,0,2
95,"Government Noor Jahan Girls HighSchool",Muzaffarabad,212020806,,,0,732,732,0,2,2
"",,Muzaffarabad,212020807,,,0,316,316,,,
95 Total,,,,,,0,1048,1048,0,2,2
96,"Government Girls Primary School, ChahBanan Wala near Aadhi Wala",Masood Pur Tibba,212020511,,,798,0,798,3,0,3
"",,Masood Pur Tibba,212020512,,,523,0,523,,,
"",,Khair Pur,212020513,,,206,0,206,,,
96 Total,,,,,,1527,0,1527,3,0,3
97,"Government Girls Primary School, ChahBanan Wala near Aadhi Wala",Masood Pur Tibba,212020511,,,0,657,657,0,2,2
"",,Masood Pur Tibba,212020512,,,0,461,461,,,
"",,Khair Pur,212020513,,,0,179,179,,,
97 Total,,,,,,0,1297,1297,0,2,2
98,"Government Al-Hussain Boys HighSchool, Muzaffarabad",Jakhar Pur,212020829,,,781,0,781,4,0,4
"",,Jakhar Pur,212020830,,,671,0,671,,,
"",,Jakhar Pur,212020831,,,394,0,394,,,
98 Total,,,,,,1846,0,1846,4,0,4
Jakhar Pur,212020829,,,0,560,560,,,,,
"",,Jakhar Pur,212020831,,,0,499,499,,,
99 Total,,,,,,0,1478,1478,0,3,3
100,"Government Al-Hussain Boys HighSchool, Muzaffarabad",Jakhar Pur,212020826,,,751,0,751,2,0,2
"",,Jakhar Pur,212020827,,,259,0,259,,,
100 Total,,,,,,1010,0,1010,2,0,2
101,"Government Al-Hussain Boys HighSchool, Muzaffarabad",Jakhar Pur,212020826,,,0,674,674,0,2,2
"",,Jakhar Pur,212020827,,,0,175,175,,,
101 Total,,,,,,0,849,849,0,2,2
102,"Government Al-Hussain Boys HighSchool, Muzaffarabad",Jakhar Pur,212020828,,,724,0,724,2,0,2
"",,Jakhar Pur,212020832,,,248,0,248,,,
"",,Jakhar Pur,212020833,,,278,0,278,,,
102 Total,,,,,,1250,0,1250,2,0,2
103,"Government Boys Elementary School,Muzaffarabad",Muzaffarabad,212020814,,,314,0,314,1,0,1
"",,Muzaffarabad,212020844,,,327,0,327,,,
103 Total,,,,,,641,0,641,1,0,1
104,"Government Boys Elementary School,Muzaffarabad",Muzaffarabad,212020814,,,0,316,316,0,1,1
"",,Muzaffarabad,212020844,,,0,279,279,,,
104 Total,,,,,,0,595,595,0,1,1
105,"Government Girls Primary School, KotlaNoor Shah, Muzaffarabad",Jakhar Pur,212020828,,,0,549,549,0,2,2
"",,Jakhar Pur,212020832,,,0,204,204,,,
"",,Jakhar Pur,212020833,,,0,220,220,,,
105 Total,,,,,,0,973,973,0,2,2
106,"Government Girls High School,Muzaffarabad",Muzaffarabad,212020808,,,435,0,435,4,0,4
"",,Muzaffarabad,212020809,,,310,0,310,,,
"",,Muzaffarabad,212020810,,,322,0,322,,,
"",,Muzaffarabad,212020811,,,290,0,290,,,
"",,Muzaffarabad,212020812,,,316,0,316,,,
"",,Muzaffarabad,212020813,,,319,0,319,,,
"",,Muzaffarabad,212020843,,,331,0,331,,,
106 Total,,,,,,2323,0,2323,4,0,4
107,"Government Girls Primary School, ThathiLal",Thathi Lal,212020838,,,480,403,883,2,2,4
"",,Thathi Lal,212020839,,,579,448,1027,,,
107 Total,,,,,,1059,851,1910,2,2,4
108,"Government Girls Primary School,Jalalabad",Jalalabad,212020836,,,539,437,976,2,2,4
"",,Jalalabad,212020837,,,606,514,1120,,,
108 Total,,,,,,1145,951,2096,2,2,4
109,"Government Boys Elementary School,Muzaffarabad",Muzaffarabad,212020815,,,726,0,726,3,0,3
"",,Muzaffarabad,212020816,,,218,0,218,,,
"",,Kot Faqeer Ali Shah,212020841,,,403,0,403,,,
109 Total,,,,,,1347,0,1347,3,0,3
110,"Government Boys Elementary School,Muzaffarabad",Muzaffarabad,212020815,,,0,717,717,0,2,2
"",,Muzaffarabad,212020816,,,0,164,164,,,
"",,Kot Faqeer Ali Shah,212020841,,,0,360,360,,,
110 Total,,,,,,0,1241,1241,0,2,2
Muzaffarabad,212020808,,,0,340,340,,,,,
Muzaffarabad,212020809,,,0,232,232,,,,,
Muzaffarabad,212020810,,,0,310,310,,,,,
Muzaffarabad,212020811,,,0,242,242,,,,,
Muzaffarabad,212020812,,,0,247,247,,,,,
Muzaffarabad,212020813,,,0,315,315,,,,,
111 Total,,,,,,0,1997,1997,0,4,4
112,"Government Boys Primary School,Muzaffarabad (Chah Pakka)",Muzaffarabad,212020817,,,598,334,932,2,2,4
"",,Muzaffarabad,212020818,,,550,595,1145,,,
112 Total,,,,,,1148,929,2077,2,2,4
113,"Govternment Boys Elementary School,Ahmed pur Bhutta",Qasim Bela,212020704,,,298,0,298,2,0,2
"",,Qasim Bela,212020705,,,126,0,126,,,
"",,Qasim Bela,212020724,,,249,0,249,,,
"",,Qasim Bela,212020725,,,156,0,156,,,
113 Total,,,,,,829,0,829,2,0,2
114,"31Government Grils Primary School,Arjawain Sharif",Arjwain Sharif,212020720,,,0,368,368,0,2,2
"",,Arjwain Sharif,212020733,,,0,143,143,,,
"",,Arjwain Sharif,212020721,,,0,319,319,,,
"",,Arjwain Sharif,212020722,,,0,403,403,,,
114 Total,,,,,,0,1233,1233,0,2,2
115,"35Government Girls Middle School,Thathi Khawaran",Muhammad Pur Ghota,212020701,,,0,948,948,0,2,2
115 Total,,,,,,0,948,948,0,2,2
116,"36Government Girls Primary School, KhorSajri Wahin",Khor Sajri Wahin,212020306,,,275,209,484,2,2,4
"",,Khor Sajri Wahin,212020307,,,282,264,546,,,
"",,Thathi Khawaran,212020723,,,234,198,432,,,
116 Total,,,,,,791,671,1462,2,2,4
117,"44Government Boys Primary School,Jakhar Pur",Jakhar Pur,212020823,,,384,343,727,2,1,3
"",,Jakhar Pur,212020824,,,275,291,566,,,
117 Total,,,,,,659,634,1293,2,1,3
118,"57Government Boys Elementary School,Ahmed Pur Bhutta",Masood Pur Tibba,212020504,,,614,0,614,3,0,3
"",,Masood PurTibba,212020505,,,402,0,402,,,
"",,Masood Pur Tibba,212020510,,,345,0,345,,,
118 Total,,,,,,1361,0,1361,3,0,3
119,"Government Boys Elementary School,Ahmed Pur Bhutta",Masood Pur Tibba,212020504,,,0,528,528,0,2,2
"",,Masood PurTibba,212020505,,,0,315,315,,,
"",,Masood Pur Tibba,212020510,,,0,295,295,,,
119 Total,,,,,,0,1138,1138,0,2,2
120,"Government Boys Primary School,Hamrot",Humrot,213010101,,,766,680,1446,2,2,4
120 Total,,,,,,766,680,1446,2,2,4
121,"Government Boys Primary School, Bhakri",Bakhry,213010701,,,62,57,119,2,1,3
"",,Bakhry,213010702,,,590,480,1070,,,
"",,Behly,213010703,,,113,100,213,,,
121 Total,,,,,,765,637,1402,2,1,3
122,"Amir Public Shool, 5-Marla Scheme,(under PEF), Binda Malana",Binda Malana,213010802,,,177,156,333,2,1,3
"",,Binda Malana,213010805,,,257,235,492,,,
"",,Binda Malana,213010803,,,243,229,472,,,
122 Total,,,,,,677,620,1297,2,1,3
123,"Government Girls Primary School,Jalalabad",Jhok Lakhshami Naraen,213010102,,,284,263,547,2,2,4
"",,Akbar Pur,213010801,,,398,327,725,,,
"",,Akbar Pur,213010804,,,238,251,489,,,
123 Total,,,,,,920,841,1761,2,2,4
124,"Government Girls Primary School, ThathiLal",Thathi Lal,212020840,,,635,522,1157,2,2,4
Sher Shah,213010215,,,382,302,684,,,,,
Sher Shah,213010216,,,169,147,316,,,,,
125,"Government Girls Primary School, MehdiPur Akbar Shah Wala",Sher Shah,213010206,,,184,161,345,1,1,2
"",,Sher Shah,213010207,,,460,446,906,,,
125 Total,,,,,,644,607,1251,1,1,2
126,"Government Boys Primary School, RajaPur",Raja Pur,213011202,,,487,423,910,1,1,2
"",,Taj Pur Dhamraya,213011203,,,93,81,174,,,
126 Total,,,,,,580,504,1084,1,1,2
127,"Government Boys Primary School, PuranaSher Shah",Sher Shah,213010204,,,498,0,498,2,0,2
"",,Sher Shah,213010205,,,358,0,358,,,
"",,Sher Shah,213010221,,,400,0,400,,,
"",,Abbu Hatta,213010222,,,0,0,0,,,
"",,Shakker Bela,213010223,,,0,0,0,,,
127 Total,,,,,,1256,0,1256,2,0,2
128,"Government Boys Primary School, PuranaSher Shah",Sher Shah,213010204,,,0,408,408,0,2,2
"",,Sher Shah,213010205,,,0,283,283,,,
"",,Sher Shah,213010221,,,0,318,318,,,
"",,Abbu Hatta,213010222,,,0,0,0,,,
"",,Shakker Bela,213010223,,,0,0,0,,,
128 Total,,,,,,0,1009,1009,0,2,2
129,"Government Boys High School, Sher Shah",Sher Shah,213010210,,,258,0,258,2,0,2
"",,Sher Shah,213010211,,,364,0,364,,,
"",,Sher Shah,213010219,,,299,0,299,,,
"",,Sher Shah,213010220,,,324,0,324,,,
129 Total,,,,,,1245,0,1245,2,0,2
130,"Government Boys High School, Sher Shah",Sher Shah,213010210,,,0,190,190,0,2,2
"",,Sher Shah,213010211,,,0,326,326,,,
"",,Sher Shah,213010219,,,0,254,254,,,
"",,Sher Shah,213010220,,,0,311,311,,,
130 Total,,,,,,0,1081,1081,0,2,2
131,"Office of Union Council, Sher Shah",Sher Shah,213010217,,,147,140,287,1,1,2
"",,Sher Shah,213010218,,,253,208,461,,,
131 Total,,,,,,400,348,748,1,1,2
132,"Government Girls High School, Sher Shah",Sher Shah,213010212,,,372,0,372,2,0,2
"",,Sher Shah,213010213,,,320,0,320,,,
"",,Sher Shah,213010214,,,582,0,582,,,
132 Total,,,,,,1274,0,1274,2,0,2
133,"Government Girls Primary School, ChahBhatti Wala Jinnah Abadi, Basti Walvat",Sher Shah,213010201,,,176,176,352,2,2,4
"",,Sher Shah,213010202,,,435,330,765,,,
"",,Sher Shah,213010203,,,588,534,1122,,,
133 Total,,,,,,1199,1040,2239,2,2,4
134,"Government Girls Primary School No.1,Hammad Pur",Syed Ali Pur,213010704,,,219,206,425,1,1,2
"",,Hamad Pur,213011201,,,351,328,679,,,
134 Total,,,,,,570,534,1104,1,1,2
135,"Government Girls Higher SecondarySchool, Suraj Miani (High SchoolecondaryPortion)",Taj Pur Sandela,213011015,,,545,0,545,4,0,4
"",,Taj Pur Sandela,213011016,,,181,0,181,,,
"",,Taj Pur Sandela,213011023,,,391,0,391,,,
"",,Taj Pur Sandela,213011019,,,76,0,76,,,
"",,Taj Pur Sandela,213011020,,,623,0,623,,,
135 Total,,,,,,1816,0,1816,4,0,4
Taj Pur Sandela,213011015,,,0,465,465,,,,,
Taj Pur Sandela,213011016,,,0,172,172,,,,,
"",Portion),Taj Pur Sandela,213011019,,,0,68,68,,,
"",,Taj Pur Sandela,213011020,,,0,520,520,,,
136 Total,,,,,,0,1551,1551,0,3,3
137,"Government Girls Community ModelSchool, Taj Pur Sandila",Taj Pur Sandela,213011014,,,574,0,574,2,0,2
"",,Taj Pur Sandela,213011017,,,123,0,123,,,
"",,Taj Pur Sandela,213011018,,,252,0,252,,,
137 Total,,,,,,949,0,949,2,0,2
138,"Government Girls Community ModelSchool, Taj Pur Sandila",Taj Pur Sandela,213011014,,,0,496,496,0,2,2
"",,Taj Pur Sandela,213011017,,,0,132,132,,,
"",,Taj Pur Sandela,213011018,,,0,183,183,,,
138 Total,,,,,,0,811,811,0,2,2
139,"Government Girls Elementary School, TajPur Sandila",Binda Sandilla,213011004,,,260,236,496,2,2,4
"",,Binda Sandilla,213011005,,,521,474,995,,,
139 Total,,,,,,781,710,1491,2,2,4
140,"Government Boys Primary School, BastiGaray Wala (Binda Sandila)",Binda Sandilla,213011006,,,393,344,737,2,1,3
"",,Binda Sandilla,213011007,,,348,257,605,,,
140 Total,,,,,,741,601,1342,2,1,3
141,"Government Boys Primary School, JhokBillu Binda Sandila",Binda Sandilla,213011009,,,660,0,660,2,0,2
"",,Binda Sandilla,213011010,,,520,0,520,,,
141 Total,,,,,,1180,0,1180,2,0,2
142,"Basic Health Unit, Binda Sandila",Dodhey,213011001,,,56,0,56,3,0,3
"",,Baqir Abad Khakwani,213011003,,,262,0,262,,,
"",,Binda Sandilla,213011011,,,257,0,257,,,
"",,Binda Sandilla,213011012,,,347,0,347,,,
"",,Binda Sandilla,213011013,,,114,0,114,,,
"",,Binda Sandilla,213011021,,,99,0,99,,,
"",,Binda Sandilla,213011022,,,212,0,212,,,
142 Total,,,,,,1347,0,1347,3,0,3
143,"Basic Health Unit, Binda Sandila",Dodhey,213011001,,,0,60,60,0,2,2
"",,Baqir Abad Khakwani,213011003,,,0,218,218,,,
"",,Binda Sandilla,213011011,,,0,205,205,,,
"",,Binda Sandilla,213011012,,,0,289,289,,,
"",,Binda Sandilla,213011013,,,0,131,131,,,
"",,Binda Sandilla,213011021,,,0,123,123,,,
"",,Binda Sandilla,213011022,,,0,190,190,,,
143 Total,,,,,,0,1216,1216,0,2,2
144,"Government Girls Primary School, MehdiPur Akbar Shah Wala",Sher Shah,213010208,,,223,186,409,1,1,2
"",,Sher Shah,213010209,,,252,236,488,,,
144 Total,,,,,,475,422,897,1,1,2
145,"Government Girls High School, Sher Shah",Sher Shah,213010212,,,0,291,291,0,2,2
"",,Sher Shah,213010213,,,0,256,256,,,
"",,Sher Shah,213010214,,,0,478,478,,,
145 Total,,,,,,0,1025,1025,0,2,2
146,"Government Boys Primary School, BastiGaray Wala (Binda Sandila)",Garay Wala,213011002,,,217,211,428,1,1,2
"",,Binda Sandilla,213011008,,,240,216,456,,,
146 Total,,,,,,457,427,884,1,1,2
147,"Government Boys Primary School, JhokBillu Binda Sandila",Binda Sandilla,213011009,,,0,573,573,0,2,2
"",,Binda Sandilla,213011010,,,0,483,483,,,
147 Total,,,,,,0,1056,1056,0,2,2
Hamid Pur Kanora,213010301,,,560,0,560,,,,,
Hamid Pur Kanora,213010302,,,380,0,380,,,,,
Hamid Pur Kanora,213010308,,,383,0,383,,,,,
148 Total,,,,,,1882,0,1882,4,0,4
149,"Government Boys High School, HamidPur Kanora",Hamid Pur Kanora,213010301,,,0,466,466,0,4,4
"",,Hamid Pur Kanora,213010302,,,0,336,336,,,
"",,Hamid Pur Kanora,213010308,,,0,343,343,,,
"",,Hamid Pur Kanora,213010310,,,0,418,418,,,
149 Total,,,,,,0,1563,1563,0,4,4
150,"Government Boys Primary School, HamidPur Khas Kanora",Hamid Pur Kanora,213010305,,,975,0,975,3,0,3
"",,Hamid Pur Kanora,213010306,,,372,0,372,,,
150 Total,,,,,,1347,0,1347,3,0,3
151,"Government Girls Primary School,Manshi Wala",Hamid Pur Kanora,213010307,,,207,0,207,2,0,2
"",,Hamid Pur Kanora,213010303,746,,746,,,,,
"",,Hamid Pur Kanora,213010309,,,131,0,131,,,
"",,Hamid Pur Kanora,213010304,500,,500,,,,,
151 Total,,,,,,1584,0,1584,2,0,2
152,"Government Girls Primary School,Manshi Wala",Hamid Pur Kanora,213010307,,,0,202,202,0,2,2
"",,Hamid Pur Kanora,213010303,,,0,705,705,,,
"",,Hamid Pur Kanora,213010309,,,0,117,117,,,
"",,Hamid Pur Kanora,213010304,,,0,469,469,,,
152 Total,,,,,,0,1493,1493,0,2,2
153,"Government Girls Primary School, FetwalPur",Kotla Kambohan,213010401,,,278,205,483,1,1,2
"",,Hamir Pur Treely,213010402,,,316,268,584,,,
153 Total,,,,,,594,473,1067,1,1,2
154,"Government Boys Primary School,Fatuhal Pur",Fatuhal Pur,213010403,,,388,0,388,4,0,4
"",,Fatuhal Pur,213010404,,,337,0,337,,,
"",,Fatuhal Pur,213010416,,,117,0,117,,,
"",,Fatuhal Pur,213010405,,,151,0,151,,,
"",,Fatuhal Pur,213010406,,,118,0,118,,,
"",,Fatuhal Pur,213010407,,,616,0,616,,,
154 Total,,,,,,1727,0,1727,4,0,4
155,"Government Boys Primary School,Fatuhal Pur",Fatuhal Pur,213010403,,,0,404,404,0,3,3
"",,Fatuhal Pur,213010404,,,0,212,212,,,
"",,Fatuhal Pur,213010416,,,0,63,63,,,
"",,Fatuhal Pur,213010405,,,0,103,103,,,
"",,Fatuhal Pur,213010406,,,0,70,70,,,
"",,Fatuhal Pur,213010407,,,0,574,574,,,
155 Total,,,,,,0,1426,1426,0,3,3
156,"Government Girls Primary School,Ambala",Ambala,213010408,,,350,0,350,4,0,4
"",,Ambala,213010409,,,304,0,304,,,
"",,Ambala,213010410,,,91,0,91,,,
"",,Ambala,213010411,,,842,0,842,,,
"",,Ambala,213010412,,,438,0,438,,,
156 Total,,,,,,2025,0,2025,4,0,4
157,"Government Girls Primary School,Ambala",Ambala,213010408,,,0,300,300,0,3,3
"",,Ambala,213010409,,,0,248,248,,,
"",,Ambala,213010410,,,0,61,61,,,
"",,Ambala,213010411,,,0,639,639,,,
"",,Ambala,213010412,,,0,322,322,,,
157 Total,,,,,,0,1570,1570,0,3,3
158,"Government Boys High School, Ali Wala",Ambala,213010413,,,450,0,450,2,0,2
"",,Ambala,213010414,,,191,0,191,,,
"",,Ambala,213010415,,,409,0,409,,,
158 Total,,,,,,1050,0,1050,2,0,2
159,"Government Boys High School, Ali Wala",Ambala,213010414,,,0,141,141,0,2,2
"",,Ambala,213010415,,,0,341,341,,,
159 Total,,,,,,0,806,806,0,2,2
160,"Government Girls Primary School, BastiTalab Near Darbar Pir Gilani",Sultan Pur Hummer,213010501,,,465,381,846,2,2,4
"",,Sultan Pur Hummer,213010502,,,474,379,853,,,
160 Total,,,,,,939,760,1699,2,2,4
161,"Government Girls Primary School, SultanPur Hammar",Sultan Pur Hummer,213010503,,,578,470,1048,1,1,2
161 Total,,,,,,578,470,1048,1,1,2
162,"Government Boys High School, Sultan PurHammar",Sultan Pur Hummer,213010506,,,375,333,708,1,1,2
"",,Sultan Pur Hummer,213010509,,,218,194,412,,,
162 Total,,,,,,593,527,1120,1,1,2
163,"Government Boys Primary School, SultanPur Hammar",Sultan Pur Hummer,213010507,,,431,369,800,1,1,2
"",,Sultan Pur Hummer,213010508,,,129,102,231,,,
163 Total,,,,,,560,471,1031,1,1,2
164,"Government Girls Primary School, Gagra",Gagra,213010510,,,412,307,719,1,1,2
164 Total,,,,,,412,307,719,1,1,2
165,"Government Boys Primary School,Kachoor",Kachoor,213010511,,,426,349,775,2,1,3
"",,Kachoor,213010512,,,331,281,612,,,
165 Total,,,,,,757,630,1387,2,1,3
166,"Government Boys Middle School,Khokhar",Khokhar,213010601,,,585,0,585,2,0,2
"",,Khokhar,213010602,,,362,0,362,,,
"",,Khokhar,213010603,,,353,0,353,,,
166 Total,,,,,,1300,0,1300,2,0,2
167,"Government Boys Middle School,Khokhar",Khokhar,213010601,,,0,476,476,0,2,2
"",,Khokhar,213010602,,,0,266,266,,,
"",,Khokhar,213010603,,,0,292,292,,,
167 Total,,,,,,0,1034,1034,0,2,2
168,"Government Boys Primary School, AdiBagh",Tara Garh,213010606,,,287,266,553,2,2,4
"",,Tara Garh,213010607,,,166,133,299,,,
"",,Tara Garh,213010608,,,470,425,895,,,
168 Total,,,,,,923,824,1747,2,2,4
169,"Government Girls Primary School, AdiBagh",Pahor,213010604,,,553,451,1004,2,2,4
"",,Pahor,213010605,,,354,274,628,,,
169 Total,,,,,,907,725,1632,2,2,4
170,"Government Boys Middle School, Labar",Laber,213010901,,,151,93,244,2,2,4
"",,Laber,213010902,,,707,547,1254,,,
170 Total,,,,,,858,640,1498,2,2,4
171,"Government Girls Middle School, Labar",Laber,213010905,,,427,361,788,2,2,4
"",,Laber,213010910,,,155,98,253,,,
"",,Laber,213010907,,,429,335,764,,,
171 Total,,,,,,1011,794,1805,2,2,4
172,"Government Boys Primary School, Balil",Ballel,213010908,,,465,468,933,2,2,4
"",,Ballel,213010909,,,386,307,693,,,
172 Total,,,,,,851,775,1626,2,2,4
173,"Government Boys High School, FerozePur",Feroz Pur,213011101,,,417,0,417,3,0,3
"",,Feroz Pur,213011102,,,352,0,352,,,
"",,Feroz Pur,213011103,,,591,0,591,,,
173 Total,,,,,,1360,0,1360,3,0,3
174,Pur,Feroz Pur,213011102,,,0,275,275,0,2,2
"",,Feroz Pur,213011103,,,0,534,534,,,
174 Total,,,,,,0,1168,1168,0,2,2
175,"Government Boys Primary School, JavedAbad",Feroz Pur,213011104,,,761,0,761,4,0,4
"",,Feroz Pur,213011105,,,633,0,633,,,
"",,Feroz Pur,213011106,,,529,0,529,,,
175 Total,,,,,,1923,0,1923,4,0,4
176,"Government Boys Primary School, JavedAbad",Feroz Pur,213011104,,,0,657,657,0,3,3
"",,Feroz Pur,213011105,,,0,586,586,,,
"",,Feroz Pur,213011106,,,0,382,382,,,
176 Total,,,,,,0,1625,1625,0,3,3
177,"Government Boys Primary School, MirzanPur",Jamhoor,213011301,,,368,319,687,2,2,4
"",,Mirzan Pur,213011302,,,530,436,966,,,
177 Total,,,,,,898,755,1653,2,2,4
178,"Government Boys Middle School, Buch",Buch,213011303,,,642,0,642,4,0,4
"",,Buch,213011304,,,244,0,244,,,
"",,Buch,213011305,,,478,0,478,,,
"",,Buch,213011306,,,296,0,296,,,
"",,Buch,213011307,,,306,0,306,,,
"",,Buch,213011308,,,283,0,283,,,
178 Total,,,,,,2249,0,2249,4,0,4
179,"Government Boys Middle School, Buch",Buch,213011303,,,0,559,559,0,4,4
"",,Buch,213011304,,,0,154,154,,,
"",,Buch,213011305,,,0,429,429,,,
"",,Buch,213011306,,,0,214,214,,,
"",,Buch,213011307,,,0,272,272,,,
"",,Buch,213011308,,,0,229,229,,,
179 Total,,,,,,0,1857,1857,0,4,4
180,"Government Boys Primary School, HamidPur Khas Kanora",Hamid Pur Kanora,213010305,,,0,871,871,0,2,2
"",,Hamid Pur Kanora,213010306,,,0,232,232,,,
180 Total,,,,,,0,1103,1103,0,2,2
181,"Government Girls Primary School, AdiBagh",Muhammad Pur Khokhar,213010609,,,548,455,1003,1,1,2
181 Total,,,,,,548,455,1003,1,1,2
182,"Government Boys Middle School, Labar",Laber,213010903,,,361,322,683,1,1,2
"",,Laber,213010904,,,182,137,319,,,
182 Total,,,,,,543,459,1002,1,1,2
183,"Government Girls Middle School, Labar",Laber,213010906,,,664,508,1172,2,1,3
183 Total,,,,,,664,508,1172,2,1,3
184,"Government Girls Primary School, SultanPur Hammar",Sultan Pur Hummer,213010504,,,201,167,368,2,1,3
"",,Sultan Pur Hummer,213010505,,,478,359,837,,,
184 Total,,,,,,679,526,1205,2,1,3
185,"Government Boys Primary School BuchMubarak",Buch Mubarak,213020407,,,343,0,343,3,0,3
"",,Buch Mubarak,213020408,,,402,0,402,,,
"",,Buch Mubarak,213020409,,,657,0,657,,,
185 Total,,,,,,1402,0,1402,3,0,3
186,"Government Boys Primary School BuchMubarak",Buch Mubarak,213020410,,,30,53,83,1,1,2
"",,Buch Mubarak,213020421,,,574,509,1083,,,
186 Total,,,,,,604,562,1166,1,1,2
Nandla,213020401,,,274,303,577,,,,,
Nandla,213020402,,,345,258,603,,,,,
187 Total,,,,,,763,686,1449,2,2,4
188,"Government Boys Primary School, Nandla",Nandla,213020404,,,291,273,564,2,2,4
"",Nandla,213020405,,,375,323,698,,,,
"",Nandla,213020406,,,367,291,658,,,,
188 Total,,,,,,1033,887,1920,2,2,4
189,"Government Boys Primary School,Mustafa Wala",Umer Pur,213020420,,,320,291,611,2,2,4
"",Umer Pur,213020423,,,421,376,797,,,,
189 Total,,,,,,741,667,1408,2,2,4
190,"Government Boys Primary School, ChakMahni",Noon Adhwana,213020113,,,216,209,425,2,2,4
"",Chak Mahni,213020114,,,385,319,704,,,,
"",Chak Mahni,213020119,,,328,296,624,,,,
"",Jhabail Pur,213020115,,,104,100,204,,,,
190 Total,,,,,,1033,924,1957,2,2,4
191,Government Boys High School Basti Nau,Basti Nau,213020411,,,934,831,1765,2,2,4
"",Basti Raza Khan,213020419,,,180,152,332,,,,
191 Total,,,,,,1114,983,2097,2,2,4
192,Government Boys High School Basti Nau,Basti Nau,213020416,,,154,124,278,2,1,3
"",Basti Nau,213020417,,,375,292,667,,,,
"",Basti Nau,213020418,,,236,199,435,,,,
192 Total,,,,,,765,615,1380,2,1,3
193,Government Boys High School Basti Nau,Basti Nau,213020412,,,20,0,20,4,0,4
"",Basti Nau,213020422,,,21,0,21,,,,
"",Basti Nau,213020413,,,654,0,654,,,,
"",Basti Nau,213020414,,,678,0,678,,,,
"",Basti Nau,213020415,,,492,0,492,,,,
193 Total,,,,,,1865,0,1865,4,0,4
194,Government Boys High School Basti Nau,Basti Nau,213020412,,,0,13,13,0,3,3
"",Basti Nau,213020422,,,0,27,27,,,,
"",Basti Nau,213020413,,,0,533,533,,,,
"",Basti Nau,213020414,,,0,636,636,,,,
"",Basti Nau,213020415,,,0,459,459,,,,
194 Total,,,,,,0,1668,1668,0,3,3
195,"Government Boys Primary School, BaghWala",B.Z.U,213020211,,,2,1,3,1,1,2
"",B.Z.U,213020212,,,87,97,184,,,,
"",B.Z.U,213020213,,,95,102,197,,,,
195 Total,,,,,,184,200,384,1,1,2
196,"Government Boys Primary School BastiSalah Mahay.",Salahy Mehay,213020201,,,493,426,919,2,2,4
"",Salahy Mehay,213020202,,,215,168,383,,,,
"",Salahy Mehay,213020203,,,443,352,795,,,,
196 Total,,,,,,1151,946,2097,2,2,4
197,"Government Boys Primary School BastiSalah Mahay.",Kot Mehra,213020214,,,364,297,661,2,2,4
"",Kot Mehra,213020215,,,333,254,587,,,,
"",Sharif Pur,213020216,,,194,170,364,,,,
197 Total,,,,,,891,721,1612,2,2,4
198,Union Council Office NawabPur,Nawab Pur Awal,213020101,,,597,0,597,2,0,2
"",Nawab Pur Awal,213020102,,,517,0,517,,,,
198 Total,,,,,,1114,0,1114,2,0,2
Nawab Pur Awal,213020101,,,0,555,555,,,,,
199 Total,,,,,,0,990,990,0,2,2
200,Government Boys High School Nawab Pur,Nawab Pur Awal,213020103,,,365,315,680,2,2,4
"",,Nawab Pur Awal,213020104,,,602,566,1168,,,
200 Total,,,,,,967,881,1848,2,2,4
201,Government Boys High School Nawab Pur,Nawab Pur Awal,213020107,,,702,589,1291,2,2,4
"",,Nawab Pur Awal,213020108,,,409,332,741,,,
201 Total,,,,,,1111,921,2032,2,2,4
202,Government Boys High School Nawab Pur,Nawab Pur Awal,213020109,,,271,254,525,1,1,2
"",,Nawab Pur Awal,213020110,,,220,224,444,,,
202 Total,,,,,,491,478,969,1,1,2
203,"Government Boys Primary School NawabPur",Nawab Pur Awal,213020111,,,304,324,628,1,1,2
"",,Nawab Pur Awal,213020112,,,201,152,353,,,
"",,Nawab Pur Awal,213020118,,,68,47,115,,,
203 Total,,,,,,573,523,1096,1,1,2
204,Government Girls High School Nawab Pur,Nawab Pur Awal,213020105,,,500,423,923,2,2,4
"",,Nawab Pur Awal,213020106,,,467,410,877,,,
204 Total,,,,,,967,833,1800,2,2,4
205,"Government Boys Middle School, GamunWala",Nawab Pur Doem,213020116,,,431,310,741,2,2,4
"",,Nawab Pur Doem,213020117,,,489,441,930,,,
205 Total,,,,,,920,751,1671,2,2,4
206,"Government Boys Primary School JhokeChhajrah",Bahawal Pur Kera,213020601,,,197,158,355,2,2,4
"",,Wellen,213020602,,,280,227,507,,,
"",,Makeen Wala,213020603,,,62,58,120,,,
"",,Lashker Pur,213020604,,,82,79,161,,,
"",,Jhok Chujera,213020605,,,238,242,480,,,
"",,Ameer Pur Sehu,213020606,,,39,36,75,,,
"",,Wannder,213020607,,,123,84,207,,,
206 Total,,,,,,1021,884,1905,2,2,4
207,"Government Girls Primary School BuchKhusrobad",Buch Khusru Abad,213020312,,,535,477,1012,1,1,2
207 Total,,,,,,535,477,1012,1,1,2
208,"Government Boys Primary School AllahYar Pur Jarh",Allah Yar Pur Jarh,213020301,,,267,250,517,2,2,4
"",,Fazil Pur,213020314,,,333,327,660,,,
