Sr. No,No. and name of polling Station,In case of rural areas,In case of urban areas,"Serial No. ofvoterson theelectoral roll incase electoralarea isbifurcated","Number of voters assigned topolling station","Number of pollingbooths",,,,,,
39,,,,M.C.Lodhran,217060505,,0,395,495,,,
Total,,,,,,,0,646,816,0,4,4
40,"Govt.Boys High School,Gagan Hatta 100/M Part-I (Comb) (P)",,,M.C.Lodhran,217070408,,565,455,1020,1,1,2
Total,,,,,,,565,455,1020,1,1,2
41,"Govt. Boys Degree College, Lodhran",,,M.C.Lodhran,217060307,,230,205,435,1,1,2
41,,,,M.C.Lodhran,217060308,,386,295,681,,,
Total,,,,,,,616,500,1116,1,1,2
42,"Govt.Boys Primary School, Sandhi wala,Part-I (Comb) (P)",Sandhi wala,217010106,,,,106,86,192,2,2,4
42,,Sandhi wala,217010108,,,,338,287,625,,,
42,,Sandhi wala,217010109,,,,293,228,521,,,
Total,,,,,,,737,601,1338,2,2,4
43,"Govt.Boys Primary School, Sandhi wala,Part-II (Comb) (P)",Sandhi wala,217010107,,,,279,228,507,2,2,4
43,,Sandhi wala,217010110,,,,457,422,879,,,
Total,,,,,,,736,650,1386,2,2,4
44,"Govt. Commerce College, Lodhran Part-IV  (Male) (P)",Lodhran,217010113,,,,728,0,728,4,0,4
44,,Lodhran,217010114,,,,282,0,282,,,
44,,Lodhran,217010116,,,,0,0,0,,,
44,,Lodhran,217010115,,,,398,0,398,,,
Total,,,,,,,1408,0,1408,4,0,4
45,"Govt. Commerce College, Lodhran Part-V  (Female) (P)",Lodhran,217010111,,,,0,161,161,0,3,3
45,,Lodhran,217010112,,,,0,44,44,,,
45,,Lodhran,217010113,,,,0,642,642,,,
45,,Lodhran,217010114,,,,0,230,230,,,
45,,Lodhran,217010115,,,,0,284,284,,,
Total,,,,,,,0,1361,1361,0,3,3
46,"Govt. Boys Middle School, Duran Wala Part-I, (Male) (P)",Duran wala,217010204,,,,1205,0,1205,3,0,3
46,,Duran wala,217010205,,,,0,0,0,,,
Total,,,,,,,1205,0,1205,3,0,3
47,"Govt. Boys Middle School, Duran wla Part-II, (Female) (P)",Duran wala,217010204,,,,0,1028,1028,0,2,2
47,,Duran wala,217010205,,,,0,0,0,,,
Total,,,,,,,0,1028,1028,0,2,2
Total,,,,,,,544,400,944,1,1,2
49,"Govt. Boys Primary School, Sikandar Wala Part-II (Comb) (P)",Sikandar Wala,217010203,,,,628,488,1116,2,1,3
Total,,,,,,,628,488,1116,2,1,3
50,"Govt. Boys Primary School , Mundhali (Comb) (P)",Mundhali,217010201,,,,671,513,1184,2,1,3
Total,,,,,,,671,513,1184,2,1,3
51,Govt.Girls Primary School.Chak No.99/M at Basti Rang Pur (C,mb)  (PC)hak No.99/M,217010301,,,,588,475,1063,2,2,4
51,,Chak No.99/M,217010302,,,,,,0,,,
51,,Chak No.99/M,217010303,,,,155,146,301,,,
Total,,,,,,,743,621,1364,2,2,4
52,"Govt Boys Middle  School,Chak No.99/M  (Comb) (P)",Chak No.99/M,217010304,,,,325,268,593,1,1,2
Total,,,,,,,325,268,593,1,1,2
53,"Govt.Boys High School,Gagan Hatta 100/M Part-II (Comb) (P)",Chak No. 100/M,217010320,,,,213,169,382,2,2,4
53,,Chak No. 100/M,217010323,,,,492,342,834,,,
Total,,,,,,,705,511,1216,2,2,4
54,"Govt. Boys Primary School, Chak No. 97/M Part-I (Comb) (P)",Chak No.97/M,217010305,,,,536,431,967,2,1,3
Total,,,,,,,536,431,967,2,1,3
55,"Govt. Boys Primary School, Chak No. 97/M Part-II (Comb) (P)",Chak No.97/M,217010306,,,,434,385,819,2,2,4
55,,Chak No.97/M,217010307,,,,,,0,,,
55,,Chak No.97/M,217010308,,,,487,387,874,,,
55,,Chak No.97/M,217010309,,,,,,0,,,
Total,,,,,,,921,772,1693,2,2,4
56,"Govt. Girls Primary School ,Chak No. 97/M  Part-I  ( Male ) (P)",Chak No.97/M,217010310,,,,574,0,574,4,0,4
56,,Chak No.97/M,217010311,,,,,,0,,,
56,,Chak No.97/M,217010312,,,,330,0,330,,,
56,,Chak No.97/M,217010313,,,,718,0,718,,,
56,,Chak No.97/M,217010314,,,,,,0,,,
56,,Chak No.97/M,217010315,,,,248,0,248,,,
Total,,,,,,,1870,0,1870,4,0,4
57,"Govt. Girls Primary School ,Chak No. 97/M  Part-II  ( Female )(P)",Chak No.97/M,217010310,,,,0,478,478,0,3,3
57,,Chak No.97/M,217010311,,,,,,0,,,
57,,Chak No.97/M,217010312,,,,0,273,273,,,
57,,Chak No.97/M,217010313,,,,0,580,580,,,
57,,Chak No.97/M,217010314,,,,,,0,,,
57,,Chak No.97/M,217010315,,,,0,198,198,,,
Total,,,,,,,0,1529,1529,0,3,3
58,"Govt. Boys High School, Adam Wahin Part-I (Comb) (P)",Chak No.97/M,217010316,,,,269,236,505,2,2,4
58,,Chak No.97/M,217010318,,,,,,0,,,
Total,,,,,,,643,538,1181,2,2,4
59,Govt. Girls High School Adam Wahin Part-I (Female) (P),Adam Wahin,217010401,,,,0,1021,1021,0,3,3
59,,Adam Wahin,217010402,,,,,,0,,,
59,,Adam Wahin,217010405,,,,0,315,315,,,
Total,,,,,,,0,1336,1336,0,3,3
60,"Govt. Boys Primary School, Adam Wahin.(Male) (P)",Adam Wahin,217010401,,,,1169,0,1169,3,0,3
60,,Adam Wahin,217010402,,,,,,0,,,
60,,Adam Wahin,217010405,,,,364,0,364,,,
Total,,,,,,,1533,0,1533,3,0,3
61,Govt. Girls High School Adam Wahin Part-II (Comb) (P),Adam Wahin,217010403,,,,762,647,1409,2,2,4
61,,Adam Wahin,217010404,,,,,,0,,,
Total,,,,,,,762,647,1409,2,2,4
62,"Govt. Boys Primary School ,Dera Jand (Comb) (P)",Dera Jand,217010501,,,,265,239,504,2,1,3
62,,Dera Jand,217010502,,,,362,303,665,,,
62,,Gid pur,217010508,,,,43,33,76,,,
Total,,,,,,,670,575,1245,2,1,3
63,"Govt.Girls Primary School , Dera Jand (Comb) (P)",Dera Lakha,217010507,,,,145,152,297,1,1,2
63,,Dera Jand,217010503,,,,339,306,645,,,
Total,,,,,,,484,458,942,1,1,2
64,"Govt. Girls Primary School , Mehesh Wala (Comb) (P)",Lai Wahin,217010504,,,,278,189,467,2,2,4
64,,Lai Wahin,217010505,,,,298,267,565,,,
64,,Lai Wahin,217010506,,,,234,214,448,,,
Total,,,,,,,810,670,1480,2,2,4
65,"Govt. Boys Middle School ,Gidran (Comb) (P)",Hussain Abad,217010601,,,,861,620,1481,2,2,4
65,,Hussain Abad,217010602,,,,,,0,,,
Total,,,,,,,861,620,1481,2,2,4
66,"Govt. Model Primary School, Devani wala Part-2nd at BastiLoharan(Comb)(P)",Hussain Abad,217010603,,,,543,389,932,2,1,3
66,,Hussain Abad,217010604,,,,226,174,400,,,
Total,,,,,,,769,563,1332,2,1,3
67,"Govt. Model Primary School, Devani wala Part-I (Male) (P)",Hussain Abad,217010605,,,,407,0,407,3,0,3
67,,Hussain Abad,217010608,,,,,,0,,,
67,,Hussain Abad,217010606,,,,1070,0,1070,,,
67,,Hussain Abad,217010607,,,,,,0,,,
Total,,,,,,,1477,0,1477,3,0,3
68,"Govt. Model Primary School, Devani wala Part-II (Female) (P)",Hussain Abad,217010605,,,,0,331,331,0,2,2
68,,Hussain Abad,217010608,,,,,,0,,,
68,,Hussain Abad,217010606,,,,0,908,908,,,
Total,,,,,,,0,1239,1239,0,2,2
69,"Govt. Girls Middle School,Havli Nasir Khan (Comb) (P)",Havli Nasir Khan,217010704,,,,561,457,1018,2,2,4
69,,Havli Nasir Khan,217010705,,,,370,347,717,,,
Total,,,,,,,931,804,1735,2,2,4
70,"Govt. Boys High  School,Havli Nasir Khan (Comb) (P)",Havli Nasir Khan,217010706,,,,445,363,808,1,1,2
Total,,,,,,,445,363,808,1,1,2
71,"Govt. Boys High School,Havli Nasir Khan (PrimaryPortion)(Comb)(P)",Dasti,217010707,,,,732,687,1419,2,2,4
Total,,,,,,,732,687,1419,2,2,4
72,"Govt.Boys Primary School ,Rizvi Abad (Comb) (P)",Khan Pur,217010701,,,,446,351,797,1,1,2
Total,,,,,,,446,351,797,1,1,2
73,"Govt.Boys Elementary School , Khanpur Part-I (Male) (P)",Khan Pur,217010702,,,,1142,0,1142,2,0,2
73,,Khan Pur,217010703,,,,,,0,,,
Total,,,,,,,1142,0,1142,2,0,2
74,"Govt.Boys Elementary School , Khanpur  Part-II (Female) (P)",Khan Pur,217010702,,,,0,937,937,0,2,2
74,,Khan Pur,217010703,,,,,,0,,,
Total,,,,,,,0,937,937,0,2,2
75,"Govt. Boys Middle School, Kotha Uttera (Comb) (P)",Kotha Uttera,217010802,,,,384,285,669,2,2,4
75,,Kotha Uttera,217010803,,,,402,327,729,,,
Total,,,,,,,786,612,1398,2,2,4
76,"Govt. Girls Primary School ,Khawaja Abad (Comb) (P)",Kotha Uttera,217010801,,,,569,473,1042,1,1,2
Total,,,,,,,569,473,1042,1,1,2
77,"Govt.Girls Community Elementary School,Kotha Uttera(Comb) (P)",Kotha Uttera,217010804,,,,395,297,692,2,2,4
77,,Kotha Uttera,217010805,,,,489,407,896,,,
Total,,,,,,,884,704,1588,2,2,4
78,"Govt. Boys Middle School, Kotha Uttera (Comb) (P)",Kotha Uttera,217010806,,,,367,296,663,1,1,2
Total,,,,,,,367,296,663,1,1,2
79,"Govt. Primary School , Chutti (Comb) (P)",Bhindi Nasir Khan,217010808,,,,32,25,57,1,1,2
79,,Chutti,217010807,,,,474,382,856,,,
Total,,,,,,,506,407,913,1,1,2
80,"Govt. Girls Primary School ,Dawnran (Comb) (P)",Dawnran,217011008,,,,241,201,442,2,2,4
80,,Dawnran,217011009,,,,572,537,1109,,,
Total,,,,,,,813,738,1551,2,2,4
81,"Govt. Boys High School , Dawnran Part-I  (Comb) (P)",Dawnran,217011007,,,,355,268,623,2,1,3
81,,Dawnran,217011012,,,,233,203,436,,,
Total,,,,,,,588,471,1059,2,1,3
82,"Govt. Boys High School , Dawnran Part-II  (Comb) (P)",Dawnran,217011010,,,,182,145,327,2,1,3
82,,Dawnran,217011011,,,,231,176,407,,,
Total,,,,,,,564,442,1006,2,1,3
83,"Govt. Boys High School, Dawnran (Primary Portion) (Comb)(P)",Dawnran,217011014,,,,429,348,777,2,1,3
83,,Dawnran,217011015,,,,209,169,378,,,
Total,,,,,,,638,517,1155,2,1,3
84,"Govt. Girls Elementary School, Haleem Wala (Comb) (P)",Mujaldi Wala,217011001,,,,385,332,717,2,2,4
84,,Mujaldi Wala,217011002,,,,337,279,616,,,
84,,Mujaldi Wala,217011003,,,,329,223,552,,,
Total,,,,,,,1051,834,1885,2,2,4
85,Union Council Office Danwran (Comb) (P),Mujaldi Wala,217011004,,,,216,157,373,2,2,4
85,,Mujaldi Wala,217011005,,,,152,118,270,,,
85,,Dawnran,217011006,,,,429,346,775,,,
85,,Dawnran,217011016,,,,,,0,,,
Total,,,,,,,797,621,1418,2,2,4
86,Govt Model Primary School Thadda Thahim (Comb) (P),Thada Thahim,217011105,,,,375,302,677,2,1,3
Total,,,,,,,375,302,677,2,1,3
87,Govt Girls Primary School Thadda Thahim (Comb) (P),Thada Thahim,217011107,,,,192,169,361,1,1,2
87,,Thada Thahim,217011108,,,,331,335,666,,,
Total,,,,,,,523,504,1027,1,1,2
88,"Govt Girls Primary School Rao Colony at New Basti (Comb)(P)",Thada Thahim,217011110,,,,199,145,344,2,2,4
Total,,,,,,,199,145,344,2,2,4
89,"Govt Boys Primary School, Dargha Pur (Comb) (P)",Dargha pur,217011112,,,,257,190,447,2,2,4
89,,Dargha pur,217011113,,,,594,519,1113,,,
Total,,,,,,,851,709,1560,2,2,4
90,"Govt Boys Primary School ,Durhatta Part-I (Comb) (P)",Durhatta,217011101,,,,322,292,614,1,1,2
90,,Durhatta,217011104,,,,127,107,234,,,
Total,,,,,,,449,399,848,1,1,2
91,"Govt Boys Primary School ,Durhatta Part-II (Comb) (P)",Durhatta,217011103,,,,748,603,1351,2,2,4
Total,,,,,,,748,603,1351,2,2,4
92,"Govt Girls Elementary School ,Kot Lal shah (Male ) (P)",Kot Lal Shah,217010901,,,,406,0,406,3,0,3
92,,Kot Lal Shah,217010902,,,,582,0,582,,,
92,,Kot Lal Shah,217010903,,,,578,0,578,,,
92,,Kot Lal Shah,217010904,,,,,,0,,,
Total,,,,,,,1566,0,1566,3,0,3
93,Basic Health Unit Kot Lal Shah (Female) (P),Kot Lal Shah,217010901,,,,0,310,310,0,2,2
93,,Kot Lal Shah,217010902,,,,0,423,423,,,
93,,Kot Lal Shah,217010903,,,,0,425,425,,,
93,,Kot Lal Shah,217010904,,,,,,0,,,
Total,,,,,,,0,1158,1158,0,2,2
94,,Bhuttaiji,217040802,,,,,,,,,
Total,,,,,,,770,678,1448,2,2,4
95,"Govt Boys Elementary School, Ghalwan Wala, Bhutaiji  Part-II(Comb) (P)",Bhuttaiji,217040803,,,,314,241,555,2,2,4
95,,Bhuttaiji,217040804,,,,397,336,733,,,
Total,,,,,,,711,577,1288,2,2,4
96,"Govt Girls Elementary School,Ghal wan Wala Bhutaiji (Comb)(P)",Bhuttaiji,217040805,,,,373,271,644,2,2,4
96,,Bhuttaiji,217040806,,,,361,339,700,,,
Total,,,,,,,734,610,1344,2,2,4
97,"Govt Girls Primary School, Mochian Wala (Comb) (P)",Isran Wali,217040807,,,,114,63,177,2,2,4
97,,Hajran Wali,217040808,,,,121,83,204,,,
97,,Mochian Wali,217040809,,,,334,298,632,,,
97,,Basti Sawan,217040810,,,,290,222,512,,,
Total,,,,,,,859,666,1525,2,2,4
98,"Govt. High School, Khanwah Ghal wah (Comb) (P)",Khanwah East,217040401,,,,429,290,719,1,1,2
98,,Khanwah East,217040402,,,,136,90,226,,,
Total,,,,,,,565,380,945,1,1,2
99,"Govt. Girls High School, Khanwah Ghalwan (Comb) (P)",Khanwah East,217040403,,,,373,286,659,2,2,4
99,,Khanwah East,217040404,,,,414,347,761,,,
Total,,,,,,,787,633,1420,2,2,4
100,"Govt. Girls High School, Khanwah Ghalwan (Comb) (P)",Khanwah East,217040405,,,,424,365,789,2,2,4
100,,Khanwah East,217040406,,,,319,260,579,,,
Total,,,,,,,743,625,1368,2,2,4
101,Govt. Girls Primary School Basti Risala Part-I (Comb) (P),Khanwah East,217040408,,,,836,732,1568,2,2,4
Total,,,,,,,836,732,1568,2,2,4
102,"Govt. Gilrs Primary School, Basti Risala Part-II (Comb) (P)",Khanwah East,217040407,,,,311,278,589,2,2,4
102,,Khanwah East,217040409,,,,480,426,906,,,
Total,,,,,,,791,704,1495,2,2,4
103,"Improvised near the premises of Govt.Gilrs Primary School,Basti Risala Part-III (Comb) (T)",Khanwah East,217040410,,,,196,149,345,2,1,3
103,,Khanwah East,217040411,,,,435,335,770,,,
Total,,,,,,,631,484,1115,2,1,3
104,"Govt. Boys Primary School, Bhatta Sadat (Comb) (P)",Khanwah East,217040412,,,,152,135,287,1,1,2
104,,Khanwah East,217040416,,,,,,0,,,
104,,Khanwah East,217040413,,,,196,178,374,,,
Total,,,,,,,348,313,661,1,1,2
105,"Govt Boys Primary School, Hayyat pur (Comb) (P)",Khanwah East,217040414,,,,286,263,549,2,2,4
105,,Khanwah East,217040415,,,,420,373,793,,,
105,,Khanwah East,217040417,,,,,,0,,,
106,Govt.Boys Primary School Murradpur (Comb) (P),Murrad pur,217040601,,,,715,567,1282,2,2,4
106,,Naharr Wali,217040604,,,,55,35,90,,,
Total,,,,,,,770,602,1372,2,2,4
107,"Govt Girls Primary School, Jhok Uttera (Comb) (P)",Jhok Uttera,217040602,,,,537,508,1045,2,2,4
107,,Jhok Uttera,217040603,,,,291,225,516,,,
Total,,,,,,,828,733,1561,2,2,4
108,"Basic Health Unit, Hayyat pur( Combined ) (P)",Khanwah South,217040705,,,,287,218,505,2,2,4
108,,Khanwah South,217040706,,,,498,452,950,,,
108,,Khanwah South,217040707,,,,141,104,245,,,
Total,,,,,,,926,774,1700,2,2,4
109,"Govt Boys Elementry School,Chuttala  ( Male ) (P)",Chuttala,217040701,,,,228,0,228,3,0,3
109,,Chuttala,217040702,,,,411,0,411,,,
109,,Chuttala,217040703,,,,900,0,900,,,
109,,Chuttala,217040704,,,,,,0,,,
Total,,,,,,,1539,0,1539,3,0,3
110,"Govt. Gilrs Primary School, Elahi Bakhsh at Chuttala (Female) (P)",Chuttala,217040701,,,,0,240,240,0,3,3
110,,Chuttala,217040702,,,,0,327,327,,,
110,,Chuttala,217040703,,,,0,781,781,,,
110,,Chuttala,217040704,,,,,,0,,,
Total,,,,,,,0,1348,1348,0,3,3
111,"Govt.Girls Elementry School,Chak No.93/M  (Comb) (P)",Chak No.93/M,217040202,,,,530,422,952,2,2,4
111,,Chak No.92/M,217040203,,,,266,218,484,,,
Total,,,,,,,796,640,1436,2,2,4
112,"Govt.Girls Elementry School,Chak No.93/M  (Comb) (P)",Gagan Hatta,217040204,,,,376,255,631,2,2,4
112,,Chak No.94/M,217040201,,,,542,408,950,,,
Total,,,,,,,918,663,1581,2,2,4
113,"Govt.Boys High School, Chak 90/M (Comb) (P)",Chak No.89/M,217040101,,,,476,434,910,2,2,4
113,,Chak No.90/M,217040102,,,,513,433,946,,,
Total,,,,,,,989,867,1856,2,2,4
114,"Govt Girls Primary School, Chak No.98/M (Comb) (P)",Chak No.95/M,217041001,,,,335,226,561,2,2,4
114,,Chak No.96/M,217041002,,,,245,155,400,,,
114,,Chak No.98/M,217041003,,,,563,416,979,,,
Total,,,,,,,1143,797,1940,2,2,4
115,"Basic Health Unit ,Chhamb Kulyar (Comb) (P)",Chak No.91/M,217040103,,,,255,176,431,2,1,3
115,,Chhamb Kulyar,217040301,,,,476,363,839,,,
Total,,,,,,,731,539,1270,2,1,3
116,"Govt.High School, Chhamb Kulyar Part-I (Male) (P)",Chhamb Kulyar,217040302,,,,1264,0,1264,4,0,4
116,,Chhamb Kulyar,217040303,,,,,,0,,,
116,,Chhamb Kulyar,217040304,,,,,,0,,,
116,,Chhamb Kulyar,217040305,,,,344,0,344,,,
117,"Govt.High School, Chhamb Kulyar Part-II (Female) (P)",Chhamb Kulyar,217040302,,,,0,1111,1111,0,3,3
117,,Chhamb Kulyar,217040303,,,,,,0,,,
117,,Chhamb Kulyar,217040304,,,,,,0,,,
117,,Chhamb Kulyar,217040305,,,,0,325,325,,,
Total,,,,,,,0,1436,1436,0,3,3
118,"Govt. Girls Middle School,Chhamb Kulyar (Comb) (P)",Chhamb Kulyar,217040306,,,,947,834,1781,2,2,4
118,,Chhamb Kulyar,217040307,,,,,,,,,
Total,,,,,,,947,834,1781,2,2,4
119,"Govt Boys Elementary School,Jagir Hora (Comb) (P)",Jageer Hora,217041101,,,,555,494,1049,2,2,4
119,,Jageer Hora,217041102,,,,407,317,724,,,
Total,,,,,,,962,811,1773,2,2,4
120,"Govt Boys Primary School , Lal Kamal (Comb) (P)",Lal Kamal,217041103,,,,560,457,1017,2,2,4
120,,Jageer Kikri,217041104,,,,210,173,383,,,
Sr. No,No. and name of polling Station,In case of rural areas,In case of urban areas,"Serial No. ofvoterson theelectoral roll incase electoralarea is","Number of voters assigned topolling station","Number of pollingbooths",,,,,,
"",,"Name of electoralarea","Censusblock code","Name ofelectoral area","Census blockcode",Male,Female,Total,Male,Female,Total,
1,2,3,4,5,6,7,8,9,10,11,12,13
1,"Govt. Girls Primary School, Malik Pur  (Comb) (P)",Malikpur,217040904,,,,611,508,1119,2,1,3
1,,Malikpur,217040905,,,,,,,,,
Total,,,,,,,611,508,1119,2,1,3
2,"Govt Boys Primary School, Basti Malikpur (Comb) (P)",Malikpur,217040906,,,,1002,762,1764,2,2,4
2,,Malikpur,217040907,,,,,,,,,
Total,,,,,,,1002,762,1764,2,2,4
3,"Govt Boys Primary School, Hafiz  Wala (Comb) (P)",Dall wala,217040908,,,,119,76,195,2,1,3
3,,Hafiz Muhammad Wala,217040909,,,,532,349,881,,,
Total,,,,,,,651,425,1076,2,1,3
4,"Govt.Boys High School, Qureshi wala at Hafiz walaPart-I (Comb) (P)",Hafiz Muhammad Wala,217040910,,,,368,312,680,2,1,3
4,,Hafiz Muhammad Wala,217040912,,,,344,246,590,,,
Total,,,,,,,712,558,1270,2,1,3
5,"Govt.Boys High School,Qureshi wala at Hafiz  walaPart-II (Comb) (P)",Hafiz Muhammad Wala,217040911,,,,393,341,734,2,2,4
5,,Qureshi wala,217040902,,,,318,313,631,,,
Total,,,,,,,711,654,1365,2,2,4
6,"Govt.Boys High School,Qureshi wala at Hafiz  walaPart-III (Comb) (P)",Qureshi wala,217040903,,,,566,467,1033,2,1,3
Total,,,,,,,566,467,1033,2,1,3
7,,Ali pur Asar,217040506,,,,219,184,403,,,
7,,Ali pur Asar,217040507,,,,65,48,113,,,
7,,Ali pur Asar,217040508,,,,157,110,267,,,
Total,,,,,,,660,543,1203,2,1,3
8,"Govt Boys Primary School,Tibbi Ghalwan (Comb) (P)",Tibbi Ghalwan,217040509,,,,188,158,346,1,1,2
8,,Tibbi Ghalwan,217040510,,,,366,306,672,,,
Total,,,,,,,554,464,1018,1,1,2
9,"Govt Boys Elementary  School, (Basti Araian) at Qaziwala ( Male )  (P)",Pugal Wari,217040501,,,,472,0,472,3,0,3
9,,Pugal Wari,217040502,,,,388,0,388,,,
9,,Pugal Wari,217040503,,,,709,0,709,,,
9,,Pugal Wari,217040504,,,,,,0,,,
Total,,,,,,,1569,0,1569,3,0,3
10,"Govt.Girls Primary  School, Qazi wala (Female) (P)",Pugal Wari,217040501,,,,0,437,437,0,3,3
10,,Pugal Wari,217040502,,,,0,354,354,,,
10,,Pugal Wari,217040503,,,,0,665,665,,,
10,,Pugal Wari,217040504,,,,,,0,,,
Total,,,,,,,0,1456,1456,0,3,3
11,"Govt.Boys Elementary School Balheem Abad (Comb)(P)",Pugal Wari,217040505,,,,416,362,778,1,1,2
Total,,,,,,,416,362,778,1,1,2
12,"Govt Girls Primary School, Pathan wala (Comb) (P)",Rajapur East,217020102,,,,1238,0,1238,3,0,3
12,,Rajapur East,217020103,,,,,,0,,,
12,,Rajapur East,217020104,,,,340,0,340,,,
Total,,,,,,,1578,0,1578,3,0,3
13,"Govt Boys Elementry School,Shaheedan wala (Comb)(P)",Rajapur East,217020102,,,,0,933,933,0,2,2
13,,Rajapur East,217020103,,,,,,0,,,
13,,Rajapur East,217020104,,,,0,272,272,,,
Total,,,,,,,0,1205,1205,0,2,2
14,"Govt Boys Primary School, Bukhari wala (Male) (P)",Rajapur East,217020105,,,,884,664,1548,2,2,4
14,,Rajapur East,217020106,,,,,,0,,,
Total,,,,,,,884,664,1548,2,2,4
15,"Govt Girls Primary School,Basti Rahuja (Female) (P)",Rajapur East,217020101,,,,644,488,1132,2,2,4
15,,Rajapur East,217020107,,,,428,309,737,,,
Total,,,,,,,1072,797,1869,2,2,4
16,"Govt.Boys Elementary School, Raja Pur Part-I (Male)(P)",Rajapur West,217020201,,,,324,222,546,1,1,2
16,,Rajapur West,217020207,,,,,,0,,,
Total,,,,,,,324,222,546,1,1,2
Total,,,,,,,356,294,650,1,1,2
18,"Basic Health Unit, Rajapur (Comb) (P)",Rajapur West,217020203,,,,179,0,179,3,0,3
18,,Rajapur West,217020204,,,,677,0,677,,,
18,,Rajapur West,217020205,,,,402,0,402,,,
18,,Rajapur West,217020206,,,,397,0,397,,,
Total,,,,,,,1655,0,1655,3,0,3
19,"Govt Girls Primary School, Rajapur (Comb) (P)",Rajapur West,217020203,,,,0,159,159,0,3,3
19,,Rajapur West,217020204,,,,0,594,594,,,
19,,Rajapur West,217020205,,,,0,313,313,,,
19,,Rajapur West,217020206,,,,0,278,278,,,
Total,,,,,,,0,1344,1344,0,3,3
20,"Govt.Boys High School, Kotla Ali Dasti Part-I (Male) (P)",Kotla Ali Dasti,217020501,,,,521,0,521,3,0,3
20,,Kotla Ali Dasti,217020502,,,,293,0,293,,,
20,,Kotla Ali Dasti,217020503,,,,409,0,409,,,
20,,Kotla Ali Dasti,217020504,,,,246,0,246,,,
Total,,,,,,,1469,0,1469,3,0,3
21,"Govt.Boys High School, Kotla Ali Dasti Part-II (Female)(P)",Kotla Ali Dasti,217020501,,,,0,390,390,0,2,2
21,,Kotla Ali Dasti,217020502,,,,0,245,245,,,
21,,Kotla Ali Dasti,217020503,,,,0,292,292,,,
21,,Kotla Ali Dasti,217020504,,,,0,259,259,,,
Total,,,,,,,0,1186,1186,0,2,2
22,"Govt Girls Primary School,Kotla Ali Dasti (Comb) (P)",Kotla Ali Dasti,217020505,,,,491,362,853,2,2,4
22,,Kotla Ali Dasti,217020511,,,,,,0,,,
22,,Kotla Ali Dasti,217020506,,,,311,219,530,,,
Total,,,,,,,802,581,1383,2,2,4
23,"Basic Health Unit, Rukan pur (Comb) (P)",Rukanpur,217020507,,,,647,482,1129,2,1,3
23,,Rukanpur,217020508,,,,,,0,,,
Total,,,,,,,647,482,1129,2,1,3
24,"Govt Boys Primary School,Rukan pur (Comb) (P)",Rukanpur,217020509,,,,790,561,1351,2,1,3
24,,Rukanpur,217020510,,,,,,0,,,
Total,,,,,,,790,561,1351,2,1,3
25,"Govt. Boys Elementary School, Thathi Samija Part-I(Comb) (P)",Thathi Samija,217021201,,,,351,251,602,1,1,2
Total,,,,,,,351,251,602,1,1,2
26,"Govt.Girls Elementary School, Thathi Samija (Comb)(P)",Thathi Samija,217021202,,,,437,368,805,2,2,4
26,,Thathi Samija,217021203,,,,468,383,851,,,
Total,,,,,,,905,751,1656,2,2,4
27,"Govt Boys Elementary School Thathi Samija Part-II(Comb) (P)",Thathi Samija,217021204,,,,663,515,1178,2,1,3
28,"Govt Girls Primary School,Molvi Sikandar (Comb) (P)",Molvi Sikandar,217020705,,,,573,489,1062,1,1,2
Total,,,,,,,573,489,1062,1,1,2
29,"Govt Boys Primary School,Molvi Sikandar (Comb) (P)",Molvi Sikandar,217020706,,,,632,541,1173,2,1,3
Total,,,,,,,632,541,1173,2,1,3
30,"Govt. Boys Primary School, Palloo Wala (Comb) (P)",Paloo Wala,217020701,,,,639,457,1096,2,1,3
30,,Kotla Saeed Qadri,217020702,,,,51,45,96,,,
Total,,,,,,,690,502,1192,2,1,3
31,"Govt.Boys High School, Jalal Abad (Comb) (P)",Jalal Abad,217020703,,,,809,651,1460,2,1,3
31,,Jalal Abad,217020704,,,,94,57,151,,,
Total,,,,,,,903,708,1611,2,1,3
32,"Govt. Elementary School, Bohar Boghey Shah (Comb)(P)",Ali Assar,217020803,,,,74,74,148,1,1,2
32,,Bohar Boghay Shah,217020802,,,,458,364,822,,,
Total,,,,,,,532,438,970,1,1,2
33,"Govt Boys Primary School, Mullan wala (Comb) (P)",Amreek,217020801,,,,688,540,1228,2,1,3
Total,,,,,,,688,540,1228,2,1,3
34,"Govt.Boys High School, Chak Himtta (Male ) Part-I (P)",Chak Himtta,217020804,,,,342,0,342,4,0,4
34,,Chak Himtta,217020805,,,,991,0,991,,,
34,,Chak Himtta,217020806,,,,,,0,,,
34,,Chak Himtta,217020807,,,,507,0,507,,,
Total,,,,,,,1840,0,1840,4,0,4
35,"Govt.Boys High School, Chak Himtta (Female ) Part-II(P)",Chak Himtta,217020804,,,,0,233,233,0,3,3
35,,Chak Himtta,217020805,,,,0,799,799,,,
35,,Chak Himtta,217020806,,,,,,0,,,
35,,Chak Himtta,217020807,,,,0,390,390,,,
Total,,,,,,,0,1422,1422,0,3,3
36,"Govt.Boys Elementary School, Miranpur ( Male )  (P)",Miranpur,217021301,,,,528,0,528,2,0,2
36,,Miranpur,217021302,,,,556,0,556,,,
Total,,,,,,,1084,0,1084,2,0,2
37,"Basic Health Unit, Miranpur ( Female )(P)",Miranpur,217021301,,,,0,403,403,0,2,2
37,,Miranpur,217021302,,,,0,421,421,,,
