Sr. No.,No. and Name of Polling Station,In Case of Rural Areas,In Case of Urban Areas,"S. No. of voters on the electoral roll in case electoral area is bifurcated","Number of voters assigned to polling station",Number of polling  booths,,,,,,
335 Total,,,,-,-,-,453,415,868,1,1,2
336,"Government High School DhokeTahlian",DHOKE TAHLIAN,128081701,-,-,,405,411,816,1,1,2
336 Total,,,,-,-,-,405,411,816,1,1,2
337,"Government Boys Primary SchoolJaswal",JASWAL,128081707,-,-,,466,414,880,2,2,4
"",,JASWAL,128081708,-,-,,403,336,739,,,
337 Total,,,,-,-,-,869,750,1619,2,2,4
338,"Government Girls HigherSecondary School Jaswal.",DHOK WAZIRA,128081702,-,-,,203,164,367,2,2,4
"",,JHALA,128081703,-,-,,475,478,953,,,
"",,"DHOK MUHAMMADSHAH",128081706,-,-,,49,45,94,,,
"",,KALLANWALI,128081709,-,-,,135,131,266,,,
338 Total,,,,-,-,-,862,818,1680,2,2,4
339,"Government Girls Primary SchoolKot Raja",KOT RAJA,128081604,-,-,,322,254,576,2,2,4
"",,"DHOK MALAKMAHMAD",128081704,-,-,,186,178,364,,,
"",,DHOK AJRI,128081705,-,-,,258,229,487,,,
339 Total,,,,-,-,-,766,661,1427,2,2,4
340,"Government Boys Primary SchoolShah Said Bulhoo",SAID BULHOO,128081605,-,-,,634,668,1302,2,2,4
340 Total,,,,-,-,-,634,668,1302,2,2,4
341,"Government Girls High SchoolSohawa",SOHA WAH,128081601,-,-,,465,0,465,3,0,3
"",,SOHA WAH,128081602,-,-,,356,0,356,,,
"",,SOHA WAH,128081603,-,-,,459,0,459,,,
341 Total,,,,-,-,-,1280,0,1280,3,0,3
342,"Government Girls High SchoolSohawa",SOHA WAH,128081601,-,-,,0,437,437,0,2,2
"",,SOHA WAH,128081602,-,-,,0,315,315,,,
"",,SOHA WAH,128081603,-,-,,0,437,437,,,
342 Total,,,,-,-,-,0,1189,1189,0,2,2
343,"Government Girls High SchoolDheedwal",DHEEDWAL,128070401,-,-,,504,447,951,2,2,4
"",,DHEEDWAL,128070402,-,-,,183,172,355,,,
343 Total,,,,-,-,-,687,619,1306,2,2,4
344,"Government Boys Primary SchoolHajial",BOHELAY HAJEYAL,128070407,-,-,,465,421,886,2,2,4
BOHELAY HAJEYAL,128070408,-,-,,168,170,338,,,,,
345,"Government Boys HigherSecondary School Dheedwal",DHEEDWAL,128070403,-,-,,462,0,462,3,0,3
"",,DHEEDWAL,128070404,-,-,,224,0,224,,,
"",,DHEEDWAL,128070405,-,-,,606,0,606,,,
"",,DHEEDWAL,128070406,-,-,,123,0,123,,,
345 Total,,,,-,-,-,1415,0,1415,3,0,3
346,"Government Boys HigherSecondary School Dheedwal",DHEEDWAL,128070403,-,-,,0,417,417,0,3,3
"",,DHEEDWAL,128070404,-,-,,0,266,266,,,
"",,DHEEDWAL,128070405,-,-,,0,595,595,,,
"",,DHEEDWAL,128070406,-,-,,0,124,124,,,
346 Total,,,,-,-,-,0,1402,1402,0,3,3
347,"Government High School Karyala(Primary Portion)","KARYALA (KALIKARYALA)",128070202,-,-,,407,387,794,2,2,4
"",,"KARYALA (MOHALLAHSHARQI KARYALA)",128070205,-,-,,348,334,682,,,
347 Total,,,,-,-,-,755,721,1476,2,2,4
348,"Government Girls High SchoolKaryala","KARYALA (MOHALLAHAURANGZAIB)",128070203,-,-,,206,187,393,2,2,4
"",,"KARYALA(SHAIRSHAH, BAZARKARYALA)",128070204,-,-,,722,734,1456,,,
348 Total,,,,-,-,-,928,921,1849,2,2,4
349,"Government Model PrimarySchool Waryamal","RAMISHA (MOHALLAHRAMISHA)",128070107,-,-,,203,191,394,2,2,4
"",,WARYAMAN,128070201,-,-,,475,450,925,,,
349 Total,,,,-,-,-,678,641,1319,2,2,4
350,"Government Boys ElementarySchool Thirpal.","RAKH SARLA (DKOKESARLA )",128070106,-,-,,26,0,26,2,0,2
"",,THIRPAL,128070305,-,-,,488,0,488,,,
"",,THIRPAL,128070306,-,-,,515,0,515,,,
350 Total,,,,-,-,-,1029,0,1029,2,0,2
"RAKH SARLA (DKOKESARLA )",128070106,-,-,,0,13,13,,,,,
THIRPAL,128070305,-,-,,0,517,517,,,,,
352,"Government Model PrimarySchool Bhallah",BHALLA,128070301,-,-,,640,0,640,2,0,2
"",,BHALLA,128070302,-,-,,458,0,458,,,
352 Total,,,,-,-,-,1098,0,1098,2,0,2
353,"Government Model PrimarySchool Bhallah",BHALLA,128070301,-,-,,0,593,593,0,2,2
"",,BHALLA,128070302,-,-,,0,472,472,,,
353 Total,,,,-,-,-,0,1065,1065,0,2,2
354,"Government  Model PrimarySchool Mohra Qazi",MOHRA QAZI,128070303,-,-,,419,428,847,1,1,2
"",,MOHRA LASSO,128070304,-,-,,156,156,312,,,
354 Total,,,,-,-,-,575,584,1159,1,1,2
355,"Government High SchoolKhokher Zeer","KHOKHAR ZAIR(MOHALLAH ALLAHBAKHASH)",128070101,-,-,,520,0,520,3,0,3
"",,"KHOKHAR ZAIR(MOHALLAH GARBI)",128070102,-,-,,405,0,405,,,
"",,KHOKHAR ZER,128070103,-,-,,283,0,283,,,
355 Total,,,,-,-,-,1208,0,1208,3,0,3
356,"Government Girls High SchoolKhokher Zeer","KHOKHAR ZAIR(MOHALLAH ALLAHBAKHASH)",128070101,-,-,,0,472,472,0,2,2
"",,"KHOKHAR ZAIR(MOHALLAH GARBI)",128070102,-,-,,0,336,336,,,
"",,KHOKHAR ZER,128070103,-,-,,0,267,267,,,
356 Total,,,,-,-,-,0,1075,1075,0,2,2
357,Basic Health Unit Khokhar Zer,"KHOKHAR ZAIR(MOHALLAH DHAKI)",128070104,-,-,,375,0,375,2,0,2
"",,"KHOKHAR ZAIR(MOHALLAHBHATIAN)",128070105,-,-,,508,0,508,,,
357 Total,,,,-,-,-,883,0,883,2,0,2
358,Basic Health Unit Khokhar Zer,"KHOKHAR ZAIR(MOHALLAH DHAKI)",128070104,-,-,,0,356,356,0,2,2
"KHOKHAR ZAIR(MOHALLAHBHATIAN)",128070105,-,-,,0,477,477,,,,,
359,Government High School Janga,NANGA,128070206,-,-,,278,0,278,2,0,2
"",,NANGA,128070207,-,-,,546,0,546,,,
"",,NANGA,128070208,-,-,,274,0,274,,,
359 Total,,,,-,-,-,1098,0,1098,2,0,2
360,"Government Girls High SchoolJanga",NANGA,128070206,-,-,,0,247,247,0,2,2
"",,NANGA,128070207,-,-,,0,589,589,,,
"",,NANGA,128070208,-,-,,0,243,243,,,
360 Total,,,,-,-,-,0,1079,1079,0,2,2
361,"Government High School ChakMalook",CHAK MALOOK,128070801,-,-,,263,0,263,4,0,4
"",,"CHAK MALOOK(DHOKE SAYED)",128070802,-,-,,251,0,251,,,
"",,CHAK MALOOK,128070803,-,-,,199,0,199,,,
"",,CHAK MALOOK,128070804,-,-,,748,0,748,,,
361 Total,,,,-,-,-,1461,0,1461,4,0,4
362,"Government Girls High SchoolChak Malook",CHAK MALOOK,128070801,-,-,,0,270,270,0,3,3
"",,"CHAK MALOOK(DHOKE SAYED)",128070802,-,-,,0,239,239,,,
"",,CHAK MALOOK,128070803,-,-,,0,239,239,,,
"",,CHAK MALOOK,128070804,-,-,,0,665,665,,,
362 Total,,,,-,-,-,0,1413,1413,0,3,3
363,"Government Girls Primary SchoolNo.2 Dhoke Bair",TAJBAL,128070805,-,-,,464,397,861,2,2,4
"",,DHOK BER,128070806,-,-,,386,397,783,,,
363 Total,,,,-,-,-,850,794,1644,2,2,4
364,"Government Girls Primary SchoolMohra Kudlathi (Mohra Sharif)",MOHRA KUD LATHI,128070707,-,-,,504,513,1017,1,1,2
364 Total,,,,-,-,-,504,513,1017,1,1,2
365,"Government Boys ElementarySchool Amir Pur Mangan",AMIR PUR MANGAN,128070704,-,-,,357,0,357,2,0,2
AMIR PUR MANGAN,128070705,-,-,,390,0,390,,,,,
AMIR PUR MANGAN,128070706,-,-,,338,0,338,,,,,
366,"Government Boys ElementarySchool Amir Pur Mangan",AMIR PUR MANGAN,128070704,-,-,,0,317,317,0,2,2
"",,AMIR PUR MANGAN,128070705,-,-,,0,392,392,,,
"",,AMIR PUR MANGAN,128070706,-,-,,0,292,292,,,
366 Total,,,,-,-,-,0,1001,1001,0,2,2
367,"Government Girls ElementarySchool Har Do Saba (Saba Rajgan)",HARDOSABA,128070701,-,-,,388,361,749,2,2,4
"",,"HARDOSABA (SABARAJGAN)",128070702,-,-,,260,276,536,,,
"",,"HARDOSABA(DOHMAN, SABAZAIR)",128070703,-,-,,155,151,306,,,
367 Total,,,,-,-,-,803,788,1591,2,2,4
368,"Government Girls High SchoolLehr Sultan Pur","LEHR SULTAN PUR(KOTHI)",130020505,-,-,,314,283,597,2,2,4
"",,LEHRI SULTAN PUR,130020506,-,-,,359,353,712,,,
368 Total,,,,-,-,-,673,636,1309,2,2,4
369,"Government Girls High SchoolLehr Sultan Pur",LEHRI SULTAN PUR,130020507,-,-,,306,273,579,1,1,2
"",,RAKH DEWAN,130020514,-,-,,0,0,0,,,
"",,KOTLI SAIDAN,130020806,-,-,,231,230,461,,,
369 Total,,,,-,-,-,537,503,1040,1,1,2
370,"Government Boys ElementarySchool Wahali Zair","WAHALI HARDO(WAHALI ZAIR)",130020801,-,-,,278,279,557,2,2,4
"",,"WAHALI HARDO(WAHALI ZAIR)",130020802,-,-,,517,485,1002,,,
370 Total,,,,-,-,-,795,764,1559,2,2,4
371,"Government Boys ElementarySchool Wehali Zair","WAHALI HARDO(WAHALI ZAIR)",130020803,-,-,,97,77,174,2,2,4
"WAHALI HARDO (CHUIRANJHA)",130020804,-,-,,238,226,464,,,,,
"WAHALI HARDO(WAHALI BALA)",130020805,-,-,,434,432,866,,,,,
372,"Government Boys Primary SchoolKhajoola",RAKH RAM HALWAN,130010106,-,-,,0,0,0,2,2,4
"",,KHAJULA,130010201,-,-,,604,576,1180,,,
"",,KHAJULA,130010202,-,-,,122,125,247,,,
"",,KOT FAZAL KHAN,130010203,-,-,,0,0,0,,,
"",,"RAKHDHARAMTIRATH",130010204,-,-,,0,0,0,,,
"",,RAKH KARANGAL,130020807,-,-,,0,0,0,,,
372 Total,,,,-,-,-,726,701,1427,2,2,4
373,"Government Boys ElementarySchool Pir Makhdoom Jahania","DHERI JABA (DHOKEMIAN SHAREEF)",130020808,-,-,,367,318,685,2,2,4
"",,"DHERI JABA (PEERMAKHDUM JAHANIA)",130020809,-,-,,261,231,492,,,
"",,"DHERI JABA (PEERMAKHDUM JAHANIA)",130020810,-,-,,424,386,810,,,
373 Total,,,,-,-,-,1052,935,1987,2,2,4
374,"Government Boys Primary SchoolChumbi","CHUMBI (AHMEDABAD)",130020811,-,-,,420,0,420,3,0,3
"",,CHUMBI,130020812,-,-,,675,0,675,,,
"",,CHUMBI,130020813,-,-,,288,0,288,,,
374 Total,,,,-,-,-,1383,0,1383,3,0,3
375,"Government Girls ElementarySchool Chumbi","CHUMBI (AHMEDABAD)",130020811,-,-,,0,364,364,0,2,2
"",,CHUMBI,130020812,-,-,,0,598,598,,,
"",,CHUMBI,130020813,-,-,,0,261,261,,,
375 Total,,,,-,-,-,0,1223,1223,0,2,2
376,"Government Boys HigherSecondary School Basharat","BASHARAT (DHOKEBASHARAT)",130020101,-,-,,361,0,361,3,0,3
BASHARAT (KHALOT),130020102,-,-,,572,0,572,,,,,
"LEHRI KAKAN (LARIPATHAN)",130020103,-,-,,297,0,297,,,,,
WAGHWAL BALA,130020202,-,-,,222,0,222,,,,,
377,"Government Girls High SchoolBasharat","BASHARAT (DHOKEBASHARAT)",130020101,-,-,,0,361,361,0,3,3
"",,BASHARAT (KHALOT),130020102,-,-,,0,479,479,,,
"",,"LEHRI KAKAN (LARIPATHAN)",130020103,-,-,,0,310,310,,,
"",,WAGHWAL BALA,130020202,-,-,,0,233,233,,,
377 Total,,,,-,-,-,0,1383,1383,0,3,3
378,"Government Boys Primary SchoolGorah",WAGHWILZER,130020105,-,-,,484,0,484,3,0,3
"",,GURAH,130020106,-,-,,316,0,316,,,
"",,GURAH,130020107,-,-,,355,0,355,,,
378 Total,,,,-,-,-,1155,0,1155,3,0,3
379,"Government Girls Primary SchoolGorah",WAGHWILZER,130020105,-,-,,0,474,474,0,2,2
"",,GURAH,130020106,-,-,,0,338,338,,,
"",,GURAH,130020107,-,-,,0,347,347,,,
379 Total,,,,-,-,-,0,1159,1159,0,2,2
380,Child Friendly School Mehinwal,KHOOTHIAN,130020205,-,-,,241,224,465,2,2,4
"",,MEHINWAL,130020206,-,-,,427,362,789,,,
"",,RAKH PARERAH,130020705,-,-,,0,0,0,,,
"",,CHANDU,130020706,-,-,,362,330,692,,,
380 Total,,,,-,-,-,1030,916,1946,2,2,4
381,"Government Girls Primary SchoolLari Shah Nawaz",JHIAK,130020104,-,-,,225,215,440,2,1,3
"",,LEHRI SHAH NIWAZ,130020201,-,-,,383,379,762,,,
381 Total,,,,-,-,-,608,594,1202,2,1,3
382,"Government Girls Primary SchoolDera Rajgan",BARWAL,130020203,-,-,,191,195,386,2,1,3
"",,DERA,130020204,-,-,,447,376,823,,,
382 Total,,,,-,-,-,638,571,1209,2,1,3
383,"Government Girls ElementarySchool Mohan",MAKHIALA  (SALOI),130020108,-,-,,182,161,343,1,1,2
"",,"MAKHIALA (MOHANZAIR)",130020109,-,-,,389,376,765,,,
383 Total,,,,-,-,-,571,537,1108,1,1,2
384,"Government Girls Primary SchoolPererha",PARERA,130020207,-,-,,333,325,658,1,1,2
385,"Government Boys Primary SchoolMohri","LEHRI PANG GIRAIEN(LEHRI KAKAN)",130020703,-,-,,419,380,799,2,2,4
"",,"LEHRI PANJ GIRAIEN(LEHRI SYEDAN)",130020704,-,-,,608,587,1195,,,
385 Total,,,,-,-,-,1027,967,1994,2,2,4
386,"Government Model ElementrySchool Lehri Kakan","LEHRI PANG GIRAIEN(LEHRI KAKAN)",130020701,-,-,,469,442,911,2,2,4
"",,"LEHRI PANJ GIRAIEN(AMRELA)",130020702,-,-,,335,297,632,,,
386 Total,,,,-,-,-,804,739,1543,2,2,4
387,"Government Boys High SchoolAra",ARA,130020601,-,-,,501,512,1013,2,2,4
"",,ARA,130020602,-,-,,283,249,532,,,
387 Total,,,,-,-,-,784,761,1545,2,2,4
388,"Government Boys High SchoolAra","AARA (DHOKEGUJJAR)",130020603,-,-,,266,248,514,1,1,2
"",,"AARA (DHOKEDHABIAR)",130020606,-,-,,313,307,620,,,
388 Total,,,,-,-,-,579,555,1134,1,1,2
389,"Government Girls Primary SchoolDhok Gujar","AARA (DHOKEGUJJAR)",130020604,-,-,,567,532,1099,1,1,2
"",,RAKH ARA,130020608,-,-,,0,0,0,,,
389 Total,,,,-,-,-,567,532,1099,1,1,2
390,"Government Girls High SchoolAra","AARA (DHOKE AMLAI,DHOKE GUJJAR)",130020605,-,-,,484,441,925,1,1,2
390 Total,,,,-,-,-,484,441,925,1,1,2
391,"Government Primary SchoolGhairibwal Colony (Ismael Wal)","RAKH MAKHIALA(GHREEB WAL)",130020609,-,-,,224,172,396,1,1,2
"",,RAKH MAKHIALA,130020610,-,-,,186,179,365,,,
391 Total,,,,-,-,-,410,351,761,1,1,2
392,"Government Girls Primary SchoolSidhandi",SIDHANDI,130020607,-,-,,608,586,1194,2,2,4
392 Total,,,,-,-,-,608,586,1194,2,2,4
SALOI (TAKWAN),130020501,-,-,,620,0,620,,,,,
394,"Government Boys High SchoolSaloi",SALOI (TAKWAN),130020501,-,-,,0,536,536,0,2,2
"",,SALOI (KANDLA),130020502,-,-,,0,493,493,,,
394 Total,,,,-,-,-,0,1029,1029,0,2,2
395,"Government Girls High SchoolSaloi","SALOI (MOHALLAHDHAIRI",130020503,-,-,,154,172,326,2,2,4
"",,"SALOI (MOHALLAHAHMAD ABAD)",130020504,-,-,,684,576,1260,,,
395 Total,,,,-,-,-,838,748,1586,2,2,4
396,"Government Girls ElementarySchool Watli",WATLI MAI KUSK,130020511,-,-,,358,295,653,2,2,4
"",,WATLI MAI KUSK,130020512,-,-,,318,262,580,,,
"",,WATLI MAI KUSK,130020513,-,-,,306,266,572,,,
396 Total,,,,-,-,-,982,823,1805,2,2,4
397,"Government Girls ElementarySchool Minhala",MANIHALA,130020508,-,-,,44,0,44,2,0,2
"",,MANIHALA,130020509,-,-,,606,0,606,,,
"",,MANIHALA,130020510,-,-,,442,0,442,,,
397 Total,,,,-,-,-,1092,0,1092,2,0,2
398,"Government Girls ElementarySchool Minhala",MANIHALA,130020508,-,-,,0,57,57,0,2,2
"",,MANIHALA,130020509,-,-,,0,503,503,,,
"",,MANIHALA,130020510,-,-,,0,412,412,,,
398 Total,,,,-,-,-,0,972,972,0,2,2
399,"Government Girls ElementaryChild Friendly School Ratucha",RATUCHHA,130020401,-,-,,86,93,179,2,2,4
"",,RATUCHHA,130020402,-,-,,755,729,1484,,,
399 Total,,,,-,-,-,841,822,1663,2,2,4
400,"Government Boys ElementarySchool Ratucha",RATUCHHA,130020403,-,-,,263,282,545,2,2,4
"",,"RATUCHA(MOHALLAH TAJAYWALI)",130020404,-,-,,324,301,625,,,
400 Total,,,,-,-,-,587,583,1170,2,2,4
401,"Government Model PrimarySchool Nali Compus.2",NALI,130020407,-,-,,204,179,383,1,1,2
"",,NALI,130020408,-,-,,317,269,586,,,
"",,RAKH KUSAK,130020409,-,-,,49,37,86,,,
401 Total,,,,-,-,-,570,485,1055,1,1,2
402,"Government Girls High SchoolDandot","DANDOOT(MOHALLAH TARK_",130020305,-,-,,665,676,1341,2,2,4
403,"Government Boys High SchoolDandot","DANDOOT(MOHALLAH SHAHIDABAD, MOHALLAHSULTANIA)",130020303,-,-,,864,826,1690,2,2,4
403 Total,,,,-,-,-,864,826,1690,2,2,4
404,"Government Girls High SchoolDandot","DANDOOT(MOHALLAH DHAIRI)",130020302,-,-,,554,509,1063,2,2,4
"",,"DANDOOT(MOHALLAHDARMIANI MASJID)",130020304,-,-,,401,390,791,,,
404 Total,,,,-,-,-,955,899,1854,2,2,4
405,"Government Boys High SchoolDandot","DANDOOT(MOHALLAHDARMIANI MASJID)",130020306,-,-,,363,0,363,2,0,2
"",,"DANDOOT(MOHALLAH MARI)",130020307,-,-,,373,0,373,,,
"",,"DANDOOT (DHOKEBANGLA)",130020308,-,-,,262,0,262,,,
405 Total,,,,-,-,-,998,0,998,2,0,2
406,Union Council Office Dandot,"DANDOOT(MOHALLAHDARMIANI MASJID)",130020306,-,-,,0,340,340,0,2,2
"",,"DANDOOT(MOHALLAH MARI)",130020307,-,-,,0,375,375,,,
"",,"DANDOOT (DHOKEBANGLA)",130020308,-,-,,0,260,260,,,
406 Total,,,,-,-,-,0,975,975,0,2,2
407,"Government Boys High SchoolDandot","DANDOOT(MOHALLAH SHAHIDABAD)",130020301,-,-,,511,469,980,2,2,4
"DANDOOT(MOHALLAH EID GAH)",130020309,-,-,,395,370,765,,,,,
408,"Government Mines Labourwelfare Elementary School Pidh",PIDH,130020405,-,-,,517,0,517,2,0,2
"",,PIDH,130020406,-,-,,643,0,643,,,
408 Total,,,,-,-,-,1160,0,1160,2,0,2
409,"Government Mines Labourwelfare Elementary School Pidh",PIDH,130020405,-,-,,0,462,462,0,2,2
"",,PIDH,130020406,-,-,,0,618,618,,,
409 Total,,,,-,-,-,0,1080,1080,0,2,2
410,"Government Boys High SchoolDalwal","DALWAL MAIBAADSHAH PUR(MOHALLAH GARIBAL)",130010601,-,-,,170,0,170,4,0,4
"DALWAL MAIBAADSHAH PUR(MOHALLAH DHERI)",130010602,-,-,,370,0,370,,,,,
"DALWAL MAIBAADSHAHPUR(MOHALLAH UTALITAAND)",130010603,-,-,,253,0,253,,,,,
"DALWAL MABAADSHAHPUR(MOHALLAH GARIBAL)",130010604,-,-,,131,0,131,,,,,
"DALWAL MABAADSHAHPUR(MOHALLAH GARIBAL)",130010605,-,-,,222,0,222,,,,,
"DALWAL MABAADSHAHPUR(MOHALLAHBHATIAN)",130010608,-,-,,441,0,441,,,,,
"DALWAL MABAADSHAH PUR ( UTLIPAAD)",130010617,-,-,,98,0,98,,,,,
411,"Government Girls HigherSecondary School Dalwal(Elementary Portion)","DALWAL MAIBAADSHAH PUR(MOHALLAH GARIBAL)",130010601,-,-,,0,141,141,0,4,4
"DALWAL MAIBAADSHAH PUR(MOHALLAH DHERI)",130010602,-,-,,0,323,323,,,,,
"DALWAL MAIBAADSHAHPUR(MOHALLAH UTALITAAND)",130010603,-,-,,0,256,256,,,,,
"DALWAL MABAADSHAHPUR(MOHALLAH GARIBAL)",130010604,-,-,,0,129,129,,,,,
"DALWAL MABAADSHAHPUR(MOHALLAH GARIBAL)",130010605,-,-,,0,216,216,,,,,
"DALWAL MABAADSHAHPUR(MOHALLAHBHATIAN)",130010608,-,-,,0,405,405,,,,,
"DALWAL MABAADSHAH PUR ( UTLIPAAD)",130010617,-,-,,0,78,78,,,,,
412,"Government Boys ElementarySchool Waulah","WAULA (WAIGANADDA JAND)",130010801,-,-,,8,0,8,3,0,3
"",,WAHULA,130010802,-,-,,214,0,214,,,
"",,WAHULA,130010804,-,-,,417,0,417,,,
"",,"WAULA (MOHALLAHMACHINE)",130010805,-,-,,220,0,220,,,
"",,"WAULA (MOHALLAHJUNIAL)",130010809,-,-,,156,0,156,,,
"",,"WAULA (MOHALLAHSULIAN)",130010810,-,-,,279,0,279,,,
"",,WAHULA,130010811,-,-,,0,0,0,,,
412 Total,,,,-,-,-,1294,0,1294,3,0,3
413,"Government Girls ElementarySchool Wahullah","WAULA (WAIGANADDA JAND)",130010801,-,-,,0,4,4,0,3,3
WAHULA,130010802,-,-,,0,195,195,,,,,
WAHULA,130010804,-,-,,0,489,489,,,,,
"WAULA (MOHALLAHMACHINE)",130010805,-,-,,0,219,219,,,,,
"WAULA (MOHALLAHJUNIAL)",130010809,-,-,,0,122,122,,,,,
"WAULA (MOHALLAHSULIAN)",130010810,-,-,,0,210,210,,,,,
WAHULA,130010811,-,-,,0,0,0,,,,,
414,"Government Boys ElementarySchool Wahullah","WAULA (MOHALLAHDHAKI)",130010803,-,-,,269,0,269,3,0,3
"",,WAHULA,130010806,-,-,,306,0,306,,,
"",,"WAULA (MOHALLAHRAJGAN)",130010807,-,-,,256,0,256,,,
"",,WAHULA,130010808,-,-,,326,0,326,,,
"",,"WAULA (MOHALLAHMANDIAL)",130010812,-,-,,32,0,32,,,
414 Total,,,,-,-,-,1189,0,1189,3,0,3
415,"Government Boys ElementarySchool Wahullah","WAULA (MOHALLAHDHAKI)",130010803,-,-,,0,262,262,0,2,2
WAHULA,130010806,-,-,,0,302,302,,,,,
"WAULA (MOHALLAHRAJGAN)",130010807,-,-,,0,232,232,,,,,
WAHULA,130010808,-,-,,0,300,300,,,,,
"WAULA (MOHALLAHMANDIAL)",130010812,-,-,,0,45,45,,,,,
416,"Government Boys High SchoolDalwal","DALWAL MABAADSHAHPUR(DHOKE RAJGAN)",130010606,-,-,,385,355,740,2,2,4
"",,"DALWAL MABAADSHAHPUR(MOHALLAHKHUWAJGAN)",130010607,-,-,,157,133,290,,,
"",,"DALWAL MABAADSHAHPUR(MOHALLAH MINHAS,KHUWAJGAN)",130010609,-,-,,160,125,285,,,
"",,BAADSHAHPUR,130010613,-,-,,276,255,531,,,
"",,"DALWAL MABAADSHAH PUR (PEERABAD)",130010615,-,-,,10,8,18,,,
"",,"DALWAL MABAADSHAH PUR(MAIN BAZAR)",130010618,-,-,,107,98,205,,,
416 Total,,,,-,-,-,1095,974,2069,2,2,4
417,"Government Boys High SchoolDalwal","DALWAL MABAADSHAHPUR(MOHALLAHSHAHEEN)",130010610,-,-,,365,316,681,2,2,4
"DALWAL MABAADSHAHPUR(MOHALLAHMUJAHIDEEN)",130010611,-,-,,303,270,573,,,,,
"DALWAL MABAADHSHAH PUR(MOHALLAHSHAHEEN)",130010619,-,-,,254,273,527,,,,,
418,"Government Boys Primary SchoolBadshah Pur","DALWAL MABAADSHAHPUR(MOHALLAHTHOARAJGAN)",130010612,-,-,,81,0,81,2,0,2
"",,"BAADSHAHPUR(HAWELI BAADSHAHPUR)",130010614,-,-,,297,0,297,,,
"",,"DALWAL MABAADSHAH PUR (SYEDKANAL)",130010616,-,-,,45,0,45,,,
"",,"DALWAL MABAADSHAHPUR (BAADSHAHPUR)",130010620,-,-,,389,0,389,,,
418 Total,,,,-,-,-,812,0,812,2,0,2
419,"Government Girls CommunityModel Elementary SchoolBadshah Pur","DALWAL MABAADSHAHPUR(MOHALLAHTHOARAJGAN)",130010612,-,-,,0,82,82,0,2,2
"",,"BAADSHAHPUR(HAWELI BAADSHAHPUR)",130010614,-,-,,0,248,248,,,
"",,"DALWAL MABAADSHAH PUR (SYEDKANAL)",130010616,-,-,,0,48,48,,,
"",,"DALWAL MABAADSHAHPUR (BAADSHAHPUR)",130010620,-,-,,0,378,378,,,
419 Total,,,,-,-,-,0,756,756,0,2,2
420,"Government Boys High SchoolDalel Pur",DALEL PUR,130010701,-,-,,430,0,430,4,0,4
DALEL PUR,130010702,-,-,,367,0,367,,,,,
DALEL PUR,130010703,-,-,,523,0,523,,,,,
"DALAIL PUR (MOHALLAH SHARQI)",130010704,-,-,,397,0,397,,,,,
421,"Government Girls ElementarySchool Dalel Pur",DALEL PUR,130010701,-,-,,0,381,381,0,4,4
"",,DALEL PUR,130010702,-,-,,0,366,366,,,
"",,DALEL PUR,130010703,-,-,,0,499,499,,,
"",,"DALAIL PUR (MOHALLAH SHARQI)",130010704,-,-,,0,378,378,,,
421 Total,,,,-,-,-,0,1624,1624,0,4,4
422,Government High School Dulmial,"DULMIAL (MOHALLAHSHUMALI GAR)",130010502,-,-,,529,0,529,3,0,3
"DULMIAL (MOHALLAHKATH)",130010503,-,-,,117,0,117,,,,,
"DULMIAL (MOHALLAHALMURAD)",130010504,-,-,,255,0,255,,,,,
"DULMIAL (MOHALLAHINAF ABAD)",130010505,-,-,,397,0,397,,,,,
DULMIAL,130010511,-,-,,0,0,0,,,,,
DULMIAL,130010512,-,-,,0,0,0,,,,,
"DULMIAL (MOHALLAHKATH)",130010513,-,-,,20,0,20,,,,,
423,"Government Girls High SchoolDulmial","DULMIAL (MOHALLAHSHUMALI GAR)",130010502,-,-,,0,511,511,0,3,3
"",,"DULMIAL (MOHALLAHKATH)",130010503,-,-,,0,105,105,,,
"",,"DULMIAL (MOHALLAHALMURAD)",130010504,-,-,,0,255,255,,,
"",,"DULMIAL (MOHALLAHINAF ABAD)",130010505,-,-,,0,355,355,,,
"",,DULMIAL,130010511,-,-,,0,0,0,,,
"",,DULMIAL,130010512,-,-,,0,0,0,,,
"",,"DULMIAL (MOHALLAHKATH)",130010513,-,-,,0,16,16,,,
423 Total,,,,-,-,-,0,1242,1242,0,3,3
"DULMIAL (MOHALLAHMASJID)",130010501,-,-,,362,0,362,,,,,
"DULMIAL (MOHALLAHMASJID BORH WALI)",130010506,-,-,,306,0,306,,,,,
"DULMIAL (MOHALLAHMASJID BORH WALI,MASJID BABA LAALSHAH)",130010507,-,-,,251,0,251,,,,,
"DULMIAL (ZIARATBABA LAAL SHAH)",130010508,-,-,,122,0,122,,,,,
"","DULMIAL (MOHALLAHGARBI, DHOKE KARMDAD)",130010510,-,-,,237,0,237,,,
425,"Government Girls High SchoolDulmial","DULMIAL (MOHALLAHMASJID)",130010501,-,-,,0,309,309,0,4,4
"",,"DULMIAL (MOHALLAHMASJID BORH WALI)",130010506,-,-,,0,309,309,,,
"",,"DULMIAL (MOHALLAHMASJID BORH WALI,MASJID BABA LAALSHAH)",130010507,-,-,,0,235,235,,,
"",,"DULMIAL (ZIARATBABA LAAL SHAH)",130010508,-,-,,0,123,123,,,
"",,"DULMIAL (MOHALLAHMAGRIB GAR, TANKIMAGRABI GAR)",130010509,-,-,,0,282,282,,,
