ELECTION COMMISSION OF PAKISTAN,,,,,,,,,,,,
FORM-28,,,,,,,,,,,,
LIST OF POLLING STATION FOR A CONSTITUENCY,,,,,,,,,,,,
"",,,,,,,,,,,,
Election to the    *National Assembly,,,,,,,,,,,,
Provincial Assembly of the Punjab,,,,,,,,,,,,
No. and name of constituency      PP-46-NWL-I,,,,,,,,,,,,
"Sr.No","No. and name ofpolling station.",In case of rural areas,In case of urban areas,"S.No. ofvoters on theelectoral roll",Number of voters assigned,Number of polling booths.,,,,,,
"",,,Total:-,,,,617,450,1067,1,1,2
120,"120-B.H.U.Doodu chak. (Kohlian)(Combined) P)",Takhtiyal,184070702,,,,44,28,72,,,
"",,Chak Doodu.,184070904,,,,143,72,215,,,
"",,Kohliyan,184070905,,,,601,425,1026,,,
"",,,Total:-,,,,788,525,1313,2,1,3
"",,,,,,,,,,,,
"",,,,,,,,,,,,
121,"121-Boys P/S Fattowal Sulehrian.(Combined)P)",Fattowal Sulehrian,184070703,,,,549,410,959,,,
"",,Fattowal Sulehrian,184070705,,,,552,329,881,,,
"",,,Total:-,,,,1101,739,1840,2,2,4
"",,,,,,,,,0,,,
"",,,Total:-,,,,510,312,822,1,1,2
123,123-Boys P/S Chajwal. (Combined)(P),Chajwal,184070801,,,,229,168,397,,,
"",,Ranyal,184070802,,,,582,480,1062,,,
"",,Masyal,184070807,,,,69,49,118,,,
"",,Ghadwal(B.C),184070811,,,,0,0,0,,,
"",,,Total:-,,,,880,697,1577,2,1,3
124,"124-Girls P/S Fattowal Sulehrian.(Combined)P)",Fattowal,184070806,,,,451,352,803,,,
"",,Theekerian,184070803,,,,439,376,815,,,
"",,,Total:-,,,,890,728,1618,2,2,4
125,"125-Boys P.S Ballo-Khatana.(Combined)(P)",Balokhatana,184070804,,,,451,355,806,,,
"",,Chacheyan,184070805,,,,194,149,343,,,
"",,,Total:-,,,,645,504,1149,1,1,2
126,"126-Govt. Boys Elementary SchoolBabral. (Male) (P)",Babral,184070808,,,,330,,330,,,
"",,Babral,184070809,,,,361,,361,,,
"",,Babral,184070810,,,,533,,533,,,
"",,,Total:-,,,,1224,,1224,2,,2
127,"127-Govt. Girls Primary School Babral(Female)(P)",Babral,184070808,,,,,265,265,,,
"",,Babral,184070809,,,,,272,272,,,
"",,Babral,184070810,,,,,394,394,,,
"",,,Total:-,,,,,931,931,,2,2
128,"128-Boys H/S Doodu Chak. (Combined)(P)",Doodu Chak,184070901,,,,782,588,1370,,,
"",,,,,,,,,,,,
"",,,Total:-,,,,782,588,1370,1,1,2
"",,,,,,,,,,,,
129,"129-Girls H/S Dhudoohak (Combined) (P)",Doodu Chak,184070902,,,,498,357,855,,,
"",,Gagian.,184070903,,,,401,331,732,,,
"",,,Total:-,,,,899,688,1587,2,1,3
130,"130-Govt. Girls Primary School SoodGujran(Combined)",Sood Gujran,184070906,,,,515,388,903,,,
"",,,,,,,,,,,,
"",,,Total:-,,,,515,388,903,1,1,2
131,131-Girls P/S Zahid Pur. (Combined)(P),Lal Chand Pur,184071001,,,,182,134,316,,,
"",,Natewali,184071003,,,,268,187,455,,,
"",,Zahid Pur,184071004,,,,162,112,274,,,
"",,,Total:-,,,,612,433,1045,1,1,2
132,"132-Govt. Girls P/S Khano Malhi(Combined)(P)",Khano Malhi,184071002,,,,437,293,730,,,
"",,Saadho Dera,184071006,,,,105,63,168,,,
"",,Bahowali,184071007,,,,133,84,217,,,
"",,,Total:-,,,,675,440,1115,1,1,2
133,133-Girls P/S Fazil Pur. (Combined)(P),Fazil pur,184071005,,,,572,459,1031,,,
"",,Bhawani pur,184071008,,,,248,155,403,,,
"",,Oalakh,184071101,,,,326,218,544,,,
"",,,Total:-,,,,1146,832,1978,2,2,4
"",,Changa,184071105,,,,114,63,177,,,
"",,Bhabra Jattan,184071107,,,,192,131,323,,,
"",,,Total:-,,,,372,243,615,1,1,2
135,135-Girls P/S. Toundi (Combined)(P),Kotli Qanoongoi,184071103,,,,61,38,99,,,
"",,Sumray,184071104,,,,232,149,381,,,
"",,Toundi,184071106,,,,503,355,858,,,
"",,Easa,184071307,,,,270,179,449,,,
"",,,Total:-,,,,1066,721,1787,2,2,4
136,136-Boys P.S Mallah. (Combined)(P),Mallah,184071108,,,,477,352,829,,,
"",,Mallah.,184071109,,,,541,396,937,,,
"",,,Total:-,,,,1018,748,1766,2,1,3
137,"137-Girls P/S Aggo Munda(Combined)(P)",Aggo Munda,184071201,,,,520,313,833,,,
"",,Naimat Pur,184071204,,,,182,147,329,,,
"",,,Total:-,,,,702,460,1162,2,1,3
138,138-Boys P/S Qazi Motla (Combined)(P),Qanun goi,184071202,,,,155,91,246,,,
"",,Lalian,184071203,,,,320,226,546,,,
"",,Qazi Motla,184071205,,,,190,158,348,,,
"",,,Total:-,,,,665,475,1140,1,1,2
"",,,,,,,,,,,,
139,139-Boys H/S Nadala Sulehrian(Male)( P),Nadala Sulehrian.,184071206,,,,543,,543,,,
"",,Nadala Sulehrian.,184071207,,,,740,,740,,,
"",,Nadala Sulehrian.,184071208,,,,511,,511,,,
"",,,Total:-,,,,1794,,1794,4,,4
140,"140-Girls M/S Nadala Sulehrian(Female) (P)",Nadala Sulehrian.,184071206,,,,,414,414,,,
"",,Nadala Sulehrian.,184071207,,,,,553,553,,,
"",,Nadala Sulehrian.,184071208,,,,,370,370,,,
"",,,Total:-,,,,,1337,1337,,3,3
141,"141-Govt. Boys H/S Sahari.(Combined)(P)",Sahari,184071301,,,,535,430,965,,,
"",,,,,,,,,,,,
"",,,Total:-,,,,535,430,965,1,1,2
"",,,,,,,,,,,,
142,"142-Govt. Boys H/S Sahari.(Combined)(P)",Sahari,184071302,,,,623,547,1170,,,
"",,,,,,,,,,,,
"",,,Total:-,,,,623,547,1170,1,1,2
143,143-Boys H/S Shah-Gharib (Male)(P),Ghona,184071303,,,,553,,553,,,
"",,Ghona,184071304,,,,484,,484,,,
"",,Shah-Jalil,184071305,,,,273,,273,,,
"",,,Total:-,,,,1310,,1310,3,,3
144,144-Boys H/S Shah-Gharib (Female)(P),Ghona,184071303,,,,,416,416,,,
"",,Ghona,184071304,,,,,335,335,,,
"",,Shah-Jalil,184071305,,,,,219,219,,,
"",,,Total:-,,,,,970,970,,2,2
"",,,,,,,,,,,,
"",,,,,,,,,,,,
145,145-Boys P/S Gnadayala (Combined)(P),Ghadayala,184071306,,,,625,454,1079,,,
"",,,Total:-,,,,806,564,1370,2,1,3
146,146-Girls E/S Versienke (Combined)(P),Versienke,184071401,,,,297,178,475,,,
"",,Khudai pur,184071403,,,,440,315,755,,,
"",,Akeeke.,184071406,,,,350,230,580,,,
"",,,Total:-,,,,1087,723,1810,2,1,3
147,147-Girls P/S Mandayala (Combined)(P),Mandayala,184071402,,,,621,480,1101,,,
"",,Kakkay Wali,184071404,,,,282,240,522,,,
"",,,Total:-,,,,903,720,1623,2,1,3
148,"148-Boys P/S Thekariyan  Kalan(Combined) P)",Thekariyan Kalan.,184070601,,,,759,583,1342,,,
"",,,,,,,,,,,,
"",,,Total:-,,,,759,583,1342,2,1,3
"",,,,,,,,,,,,
149,149-Girls P/S Mengra. (Combined) P),Thekariyan Khurd.,184070602,,,,156,148,304,,,
"",,Maingra,184070603,,,,273,195,468,,,
"",,Shahzad pur.,184070604,,,,262,220,482,,,
"",,,Total:-,,,,691,563,1254,2,1,3
150,150-Girls M/S Surya. (Combined) P),Rambra.,184070605,,,,214,175,389,,,
"",,Surya,184070606,,,,536,424,960,,,
"",,Surya,184070607,,,,174,138,312,,,
"",,Ladhial,Total:-,,,,924,737,1661,2,2,4
151,"151-Govt. Boys Elementary School Tola.(Male) ( P)",Tola,184071501,,,,664,,664,,,
"",,Tola,184071502,,,,617,,617,,,
"",,,Total:-,,,,1281,,1281,2,,2
152,"152-Govt. Girls Primary SchoolTola(Female)",Tola,184071501,,,,,402,402,,,
"",,Tola,184071502,,,,,458,458,,,
"",,,Total:-,,,,,860,860,,2,2
153,"153-Boys H/S Souhawara. (Combined) (P)",Souhawara.,184071503,,,,885,549,1434,,,
"",,,,,,,,,0,,,
"",,,Total:-,,,,885,549,1434,2,1,3
154,"154-Boys P/S Peela Gujran. (Combined) (P)",Peela Gujran.,184071504,,,,706,537,1243,,,
"",,,,,,,,,0,,,
"",,,Total:-,,,,706,537,1243,2,1,3
155,"155-Girls E/S Peela Dogran. (Combined)( P)",Peela Dogran.,184071505,,,,576,422,998,,,
"",,Khanpur wiran.,184071506,,,,149,94,243,,,
"",,,Total:-,,,,725,516,1241,2,1,3
"",,,,,,,,,,257,187,444
"",,,,,,,,,,,,
No. and name of constituency      PP-49-NWL-IV,,,,,,,,,,,,
"Sr.No",No. and name of,In case of rural areas,In case of urban areas,"S.No. ofvoters on theelectoral roll",Number of voters assigned,Number of polling booths.,,,,,,
"",polling station.,"Name of ElectoralArea","Censusblock code",Name of Electoral Area,"Censusblock code",Male.,Female.,Total.,Male.,Female.,Total.,
1,2,3,4,5,6,7,8,9,10,11,12,13
1,"1-Govt.P/S Ghulley Bajwa. (Combined)(P)",Ghulley Bajwa,257020105,,,,316,221,537,,,
"",,Total:-,,,,,501,326,827,1,1,2
2,"2-Govt.Middle School Al-Ghumna.(Combined) (P)",Al-Ghumna,257020102,,,,442,305,747,,Sensitive,
"",,Al-Ghumna,257020103,,,,351,234,585,,,
"",,Total:-,,,,,793,539,1332,2,1,3
3,3-Govt.Boys P/S Ferozpur. (Male) (P),Ferozpur,257020104,,,,696,,696,,,
"",,Dhulley,257020101,,,,138,,138,,,
"",,Audho Data,257020901,,,,369,,369,,,
"",,Total:-,,,,,1203,,1203,2,0,2
4,4-Govt.Boys P/S Ferozpur. (Female) (P),Ferozpur,257020104,,,,,508,508,,,
"",,Dhulley,257020101,,,,,90,90,,,
"",,Audho Data,257020901,,,,,265,265,,,
"",,Total:-,,,,,,863,863,0,2,2
5,5-Govt. Boys P/S Jassowali (Male) (P),Jassowali,257020301,,,,313,,313,,,
"",,Thaithar,257020305,,,,471,,471,,,
"",,Ludhar,257020306,,,,164,,164,,,
"",,Monanwali,257020307,,,,358,,358,,,
"",,Total:-,,,,,1306,0,1306,3,0,3
6,6-Govt.Girls P/S Jassowali (Female) (P),Jassowali,257020301,,,,,228,228,,,
"",,Thaithar,257020305,,,,,392,392,,,
"",,Ludhar,257020306,,,,,111,111,,,
"",,Monanwali,257020307,,,,,261,261,,,
"",,Total:-,,,,,,992,992,0,2,2
"",,,,,,,,,,,,
7,7-Govt.Girls P/S Jeokay. (Combined) (P),Basdev,257020302,,,,224,144,368,,,
"",,Thakarkay,257020303,,,,294,190,484,,,
"",,Jeokey,257020304,,,,458,305,763,,,
"",,Mahal-Dang B.C,257020309,,,,0,0,0,,,
"",,Mandahir,257020308,,,,134,60,194,,,
"",,Total:-,,,,,1110,699,1809,2,2,4
8,"8-Govt.Boys E/S Budha Pind.(Combined) (P)",Budha Pind,257020501,,,,194,136,330,,Sensitive,
"",,Budha Pind,257020502,,,,792,681,1473,,,
"",,Total:-,,,,,986,817,1803,2,2,4
9,9-Govt.Girls P/S Dauwala (Combined) (P),Dauwala,257020503,,,,639,504,1143,,,
"",,Ballowali,257020504,,,,113,87,200,,,
"",,Pandori.,257020505,,,,132,106,238,,,
"",,Total:-,,,,,884,697,1581,2,2,4
10,10-Govt.Girls E/S Saiar (Combined) (P),Saiar,257020601,,,,510,367,877,,,
"",,Chichar Wali,257020902,,,,201,156,357,,,
"",,Massad Garh,257020903,,,,185,104,289,,,
"",,Tajokey,257020905,,,,278,163,441,,,
"",,Total:-,,,,,1200,681,1881,2,1,3
11,11-Govt.Boys P/S Dholan (Combined) (P),Dholan,257020602,,,,494,336,830,,,
"",,Chak Gujjan,257020603,,,,39,10,49,,,
"",,Raj Pura,257020604,,,,133,72,205,,,
"",,Natt,257020904,,,,118,67,185,,,
12,"12-Govt.Girls P/S Bolha-Bajwah.(Combined) (P)",Allu-Chahana,257020701,,,,241,212,453,,,
"",,Bharo-pur,257020702,,,,69,51,120,,,
"",,Bolha Bajwah,257020703,,,,662,457,1119,,,
"",,Total:-,,,,,972,720,1692,2,1,3
13,"13-Govt.Girls P/S Munda-Bajwah.(Combined) (P)",Munda-Bajwah,257020704,,,,331,278,609,,,
"",,Chaju-Khawah,257020705,,,,437,325,762,,,
"",,Phari-Pur,257020706,,,,91,80,171,,,
"",,Total:-,,,,,859,683,1542,2,1,3
"",,,,,,,,,,,,
14,"14-Govt.Boys P/S Veryam. (Combined)(P)",Varyam,257021001,,,,278,163,441,,,
"",,Raib,257021002,,,,177,93,270,,,
"",,Chach-Kakey Zaian,257021004,,,,124,72,196,,,
"",,Virang Khurd,257021007,,,,113,83,196,,,
"",,Total:-,,,,,692,411,1103,2,1,3
15,15-Govt.Boys P/S Ratta. (Combined) (P),Sadoo,257021003,,,,197,136,333,,,
"",,Ratta.,257021005,,,,433,296,729,,,
"",,Data,257021006,,,,306,189,495,,,
"",,Total:-,,,,,936,621,1557,2,1,3
16,"16-Govt. Boys H/S Sankhatra.(Combined) (P)",Sankhatra No.1,257021101,,,,455,359,814,,,
"",,Sankhatra No.2,257021102,,,,270,225,495,,,
"",,Total:-,,,,,725,584,1309,2,1,3
17,"17-Govt.Girls H/S Sankhatra. (Combined)(P)",Sankhatra No.3,257021103,,,,246,180,426,,,
"",,Sankhatra No.4,257021104,,,,412,343,755,,,
"",,Total:-,,,,,658,523,1181,1,1,2
18,"18-Govt.Girls H/S Sankhatra. (Combined)(P)",Sankhatra No.5,257021105,,,,492,413,905,,,
"",,Sankhatra No.6,257021106,,,,333,247,580,,,
"",,Total:-,,,,,825,660,1485,2,1,3
19,"19-Govt.Girls P/S Panj-Ghrian(Combined) (P)",Lal-Chak,257021107,,,,110,69,179,,,
"",,Warring -Kalan,257021109,,,,155,98,253,,,
"",,Vero -Kay,257021110,,,,323,180,503,,,
"",,Total:-,,,,,588,347,935,1,1,2
20,"20-Govt.Boys P/S Panj-Ghrian(Combined) (P)",Panj-Ghrian,257021108,,,,774,515,1289,,,
"",,,,,,,,,,,,
"",,Total:-,,,,,774,515,1289,2,1,3
21,21-Govt.Boys E/S Tapiala. (Male) (P),Tapiala,257021401,,,,459,,459,,,
"",,Tapiala,257021402,,,,621,,621,,,
"",,Total:-,,,,,1080,,1080,2,0,2
22,22-Govt.Boys E/S Tapiala. (Female) (P),Tapiala,257021401,,,,,294,294,,,
"",,Tapiala,257021402,,,,,422,422,,,
"",,Total:-,,,,,,716,716,0,2,2
23,23-Govt.Girls P/S Tapiala No.4 (Male) (P),Tapiala,257021404,,,,689,,689,,,
"",,Total:-,,,,,1156,,1156,2,0,2
24,"24-Govt.Girls P/S Tapiala No.4 (Female)(P)",Tapiala,257021404,,,,,467,467,,,
"",,Tapiala,257021403,,,,,321,321,,,
"",,Total:-,,,,,,788,788,0,2,2
25,25-Govt.Girls H/S Bolar. (Combined) (P),Tapiala,257021405,,,,249,158,407,,,
"",,Tapiala,257021406,,,,296,234,530,,,
"",,Total:-,,,,,545,392,937,1,1,2
26,"26-Govt.Girls P/S Hassan-Bhattian(Combined) (P)",Rattan Garh.(B.C),257021501,,,,0,0,0,,,
"",,Bhattian,257021502,,,,162,92,254,,,
"",,Bhuler Lohan,257021504,,,,109,50,159,,,
"",,Dhapi,257021505,,,,299,190,489,,,
"",,Arjani,257021604,,,,12,7,19,,,
"",,Nadali,257021603,,,,213,152,365,,,
"",,Total:-,,,,,795,491,1286,2,1,3
27,"27-Govt.Girls P/S Jesti Wala Newan.(Combined) (P)",Jestiwala Uncha,257021503,,,,206,121,327,,,
"",,Jaestiwala Newan,257021601,,,,288,221,509,,,
"",,Jaestiwala Bala,257021602,,,,91,58,149,,,
"",,Total:-,,,,,585,400,985,1,1,2
28,28-Govt.Boys P/S Lohan (Combined) (P),Lohan,257021702,,,,410,327,737,,,
"",,Bahtti Aulakh,257021703,,,,260,165,425,,,
"",,Total:-,,,,,670,492,1162,1,1,2
29,29-Govt. Islamia H/S Nonar. (Male) (P),Luter,257021704,,,,451,,451,,,
"",,Nonar,257021804,,,,495,,495,,,
"",,Nonar,257021807,,,,454,,454,,,
"",,Dhapie Ansoo,257021701,,,,260,,260,,,
"",,Total:-,,,,,1660,,1660,4,0,4
30,30-Govt. Islamia H/S Nonar. (Female) (P),Luter,257021704,,,,,333,333,,,
"",,Nonar,257021804,,,,,433,433,,,
"",,Nonar,257021807,,,,,371,,,,
"",,Dhapie Ansoo,257021701,,,,,184,184,,,
"",,Total:-,,,,,,988,988,0,2,2
31,"31-Govt.Girls Primary School Baddo.(Combined) (P)",Baddo,257021705,,,,483,398,881,,Sensitive,
"",,Tarkhanawali,257021706,,,,95,55,150,,,
"",,Total:-,,,,,578,453,1031,2,1,3
32,"32-Govt.Islamia H/S Nonar No.1(Combined) (P)",Nonar,257021801,,,,398,327,725,,,
"",,Total:-,,,,,398,327,725,1,1,2
"",,Nonar,257021803,,,,334,275,609,,,
33,33-Govt. Boys E/S Nonar. (Combined) (P),Nonar,257021802,,,,564,429,993,,,
"",,Total:-,,,,,898,704,1602,2,2,4
34,34-Govt. Girls H/S Nonar (Male) (P),Nonar,257021805,,,,433,,433,,,
"",,Nonar,257021806,,,,759,,759,,,
"",,Nonar,257021807,,,,454,,454,,,
"",,Mehga Nagra BC,257021808,,,,0,,0,,,
"",,Total:-,,,,,1646,,1646,3,0,3
"",,Nonar,257021806,,,,,515,515,,,
"",,Nonar,257021807,,,,,371,371,,,
"",,Mehga Nagra BC,257021808,,,,,0,0,,,
"",,Total:-,,,,,,1188,1188,0,3,3
36,36-Govt.P/S Nagrey. (Combined) (P),Nagrey,257022001,,,,186,140,326,,,
"",,Giddranwali,257022004,,,,198,146,344,,,
"",,Total:-,,,,,384,286,670,1,1,2
37,"37-Govt.Girls M/S Bal-Shahan.(Combined) (P)",Kot Ramzani,257022002,,,,407,314,721,,,
"",,Bal Shahan,257022003,,,,553,388,941,,,
"",,Total:-,,,,,960,702,1662,2,2,4
38,38-Govt.Boys E/S Depokey. (Male) (P),Hubbi Pur,257022005,,,,309,,309,,,
"",,Depokey,257022006,,,,651,,651,,,
"",,Depokey,257022007,,,,669,,669,,,
"",,Total:-,,,,,1629,,1629,4,0,4
39,39-Govt.Boys E/S Depokey. (Female) (P),Hubbi Pur,257022005,,,,,219,219,,,
"",,Depokey,257022006,,,,,473,473,,,
"",,Depokey,257022007,,,,,448,448,,,
"",,Total:-,,,,,,1140,1140,0,3,3
"",,,,,,,,,,,,
"",,,,,,,,,,,,
40,"40-Govt. Boys P/S Maojokey Dharap(Combined) (P)",Mojokey Dharap,183030301,,,,641,469,1110,,,
"",,,,,,,,,,,,
"",,,Total,,,,641,469,1110,1,1,2
41,"41-Govt. Girls P/S Maojokey Dharap(Combined) (P)",Mojokey Dharap,183030302,,,,435,291,726,,,
"",,Nangli Bajwa,183030308,,,,173,140,313,,,
"",,,Total,,,,608,431,1039,1,1,2
"",,,,,,,,,,,,
42,"42-Govt. Girls P/S Balekey Khurd(Combined) (P)",Chak Nangli B.C,183030303,,,,3,1,4,,,
"",,Lorai,183030304,,,,335,217,552,,,
"",,Baleke Khurd,183030305,,,,125,96,221,,,
"",,Budhah Nawan,183030306,,,,122,87,209,,,
"",,Basike Khurd,183030307,,,,450,373,823,,,
"",,,Total,,,,1035,774,1809,2,2,4
43,"43-Govt. Boys P/S Mall Bajwa(Combined) (P)",Khanowal,183030401,,,,504,409,913,,,
"",,Mall Bajwa,183030406,,,,580,463,1043,,,
"",,,Total,,,,1084,872,1956,2,2,4
44,"44-Govt. Boys P/S Kot Lakha Sing(Combined) (P)",Kot Lakha Sing,183030402,,,,863,660,1314,,,
"",,Laddar B.C,183030404,,,,107,66,173,,,
"",,,Total,,,,970,726,1487,2,2,4
45,45-Govt. H/S Pakhokey (Combined) (P),Jattri Jhandda,183030403,,,,105,67,172,,,
"",,Kotli Variyam Sing,183030405,,,,210,142,352,,,
"",,Pakhokey,183030407,,,,112,81,193,,,
"",,,Total,,,,427,290,717,1,1,2
46,46-Govt. H/S Pakhokey (Combined) (P),Pakhokey,183030408,,,,702,556,1258,,,
"",,,,,,,,,,,,
"",,,Total,,,,702,556,1258,2,1,3
47,"47-Gvot. Girls P/S Kot Arrian (DeroMangra)(Combined) (P)",Sadhwan,183030502,,,,223,163,386,,,
"",,Saraj pur,183030503,,,,225,122,347,,,
"",,Araian,183030504,,,,230,205,435,,,
"",,Autar,183030505,,,,28,29,57,,,
"",,Gill,183030506,,,,44,39,83,,,
"",,,Total,,,,871,635,1506,2,1,3
"",,Malo wala,183030601,,,,290,221,511,,,
48,"48-Govt. Grils P/S Saidokey (Combined)(P)",Maigowal,183030602,,,,207,147,354,,,
"",,Talwanddi Bajwa,183030606,,,,191,170,361,,,
"",,,Total,,,,688,538,1226,2,1,3
"",,Virak Weeran,183030603,,,,36,15,51,,,
49,"49-Govt. Boys E/S Saidokey (Combined)(P)",Saidokey,183030604,,,,293,219,512,,,
"",,Saidokey,183030605,,,,345,251,596,,,
"",,,Total,,,,674,485,1159,1,1,2
"",,Dheirh,183030701,,,,221,193,414,,,
50,"50-Govt. Girls P/S Sadokey (Combined)(P)",Virak,183030702,,,,315,262,577,,,
"",,Sadokey,183030804,,,,474,405,879,,,
"",,,Total,,,,1010,860,1870,2,2,4
51,51-Govt.Girls H/S Doungian(Male)  (P),Doungian-I,183030703,,,,464,,464,,,
"",,Doungian-II,183030704,,,,981,,981,,,
"",,,Total,,,,1445,,1445,3,,3
52,52-Govt.Girls H/S Doungian (Female)  (P),Doungian-I,183030703,,,,,314,314,,,
"",,Doungian-II,183030704,,,,,749,749,,,
"",,,Total,,,,,1063,1063,,2,2
53,"53-Govt. Girls E/S Chahar Bhatti(Combined) (P)",Budhu Kot,183030801,,,,239,181,420,,,
"",,Chahar Bhatti,183030802,,,,352,509,333,,,
"",,Awan,183030803,,,,237,153,390,,,
"",,,Total,,,,828,843,1671,2,1,3
54,54-Govt. Boys H/S Khan Khasa (Male) (P),Khan,183030901,,,,709,,709,,,
"",,Khan,183030902,,,,182,,182,,,
"",,Khasa,183030903,,,,374,,374,,,
"",,Khasa,183030904,,,,87,,87,,,
"",,Lallar,183030906,,,,33,,33,,,
"",,,Total,,,,1385,,1385,3,,3
55,"55-Govt. Boys H/S Khan Khasa (Female)(P)",Khan,183030901,,,,,510,510,,,
"",,Khan,183030902,,,,,107,107,,,
"",,Khasa,183030903,,,,,265,265,,,
"",,Khasa,183030904,,,,,89,89,,,
"",,Lallar,183030906,,,,,20,20,,,
"",,,Total,,,,,991,991,,2,2
56,56-Govt. Boys P/S  Targa (Combined) P,Targa,183030905,,,,374,248,622,,,
"",,Dholah,183030907,,,,479,347,826,,,
"",,,Total,,,,853,595,1448,2,1,3
"",,,,,,,,,,,,
"",,,Total,,,,452,339,791,1,1,2
58,"58-Govt. Boys H/S SaddowalaUnchah(Male)  (P)",Saddowala Uncha,183031001,,,,402,,402,,,
"",,Saddowala Uncha,183031002,,,,517,,517,,,
"",,Saddowala Uncha,183031003,,,,456,,456,,,
"",,Sagarpur,183031005,,,,343,,343,,,
"",,Toteywali,183031006,,,,329,,329,,,
"",,Maan,183031007,,,,124,,124,,,
"",,,Total,,,,2171,,2171,4,,4
"",,,,,,,,,,,,
59,"59-Govt. Boys H/S SaddowalaUnchah(FeMale)  (P)",Saddowala Uncha,183031001,,,,,378,378,,,
"",,Saddowala Uncha,183031002,,,,,415,415,,,
"",,Saddowala Uncha,183031003,,,,,307,307,,,
"",,Sagarpur,183031005,,,,,280,280,,,
"",,Toteywali,183031006,,,,,239,239,,,
"",,Maan,183031007,,,,,82,82,,,
"",,,Total,,,,,1701,1701,,4,4
60,60-Govt. Boys E/S Dhabliwala (Male)  (P),Dhabliwala-1,183031101,,,,886,,886,,,
"",,Dhabliwala-2,183031102,,,,464,,464,,,
"",,Chachowali,183031103,,,,297,,297,,,
"",,,Total,,,,1647,0,1647,4,,4
61,"61-Govt. Girls H/S Dhabliwala (Female)(P)",Dhabliwala-1,183031101,,,,,718,718,,,
"",,Dhabliwala-2,183031102,,,,,400,400,,,
"",,Chachowali,183031103,,,,,233,233,,,
"",,,Total,,,,,1351,1351,,3,3
62,"62-Govt. Girls P/S Sadiq Abad(Combined) (P)",Sadiq Abad,183031104,,,,712,504,1216,,,
"",,Jalil pur B.C.,183031105,,,,0,0,0,,,
"",,Rattian,183031106,,,,542,371,913,,,
"",,,Total,,,,1254,875,2129,2,2,4
63,"63-Govt.Boys Elementary School  GillKalan.(Combined) (P)",Gujr Wali,183040101,,,,222,155,377,,,
"",,Tatkey,183040102,,,,65,39,104,,,
"",,Sahdan Wali,183040103,,,,106,92,198,,,
"",,Total:-,,,,,393,286,679,1,1,2
64,"64-Govt.Girls Pramiry School  GillKalan.(Combined) (P)",Gill Kalan,183040104,,,,674,521,1195,,,
"",,,,,,,,,,,,
"",,Total:-,,,,,674,521,1195,2,1,3
65,"65-Govt. Boys Elementry School BahlolPur. (Combined) (P)",Maan,183040201,,,,270,186,456,,,
"",,Bahlol Pur,183040204,,,,234,180,414,,,
"",,Total:-,,,,,504,366,870,1,1,2
66,"66-Govt. Boys Elementry School BahlolPur. (Combined) (P)",Khemo Wali,183040301,,,,531,396,927,,,
"",,Badhaui,183040302,,,,0,2,2,,,
"",,Ballo,183040303,,,,0,1,1,,,
"",,Total:-,,,,,531,399,930,1,1,2
"",,Jonekey,183040901,,,,115,83,198,,,
"",,Ballaki Pur(B.C),183040905,,,,0,0,0,,,
"",,Total:-,,,,,718,532,1250,2,1,3
68,68-Govt.Girls P/S Dhing. (Combined) (P),Saho Bhallo,183040402,,,,156,92,248,,,
"",,Ram Dheendsa,183040403,,,,187,131,318,,,
"",,Dhing,183040903,,,,445,281,726,,,
"",,Total:-,,,,,788,504,1292,2,1,3
69,69-Govt. Girls P/S  Ghass (Combined),Naro Rayya,183040404,,,,95,60,155,,,
"",,Ghass.,183040806,,,,290,177,467,,,
"",,Mirak Pur,183040904,,,,343,237,580,,,
"",,Total:-,,,,,728,474,1202,2,1,3
70,"70-Govt. Boys  H/S Bobak. (Combined)(P)",Bobak.,183040502,,,,351,286,637,,,
"",,Bobak.,183040503,,,,281,220,501,,,
"",,Basso Viran,183040504,,,,0,0,0,,,
"",,Total:-,,,,,632,506,1138,1,1,2
71,"71-Govt. Girls H/S Bobak. (Combined)(P)",Bobak.,183040501,,,,589,468,1057,,,
"",,,,,,,,,,,,
"",,Total:-,,,,,589,468,1057,1,1,2
72,"72-Govt. Girls P/S Datta-Ghoraya.(Combined) (P)",Akhal -Ghar.,183040505,,,,289,203,492,,,
"",,Datta-Ghoraya,183040506,,,,632,431,1063,,,
"",,Total:-,,,,,921,634,1555,2,1,3
73,73-Govt.Boys P/S Marali (Combined) P,Marali,183040507,,,,572,429,1001,,,
"",,Marali,183040508,,,,344,251,595,,,
"",,Total:-,,,,,916,680,1596,2,2,4
74,"74-Govt. Girls P/S Raya-Ghoraya.(Combined) (P)",Raya-Ghoraya,183040601,,,,536,408,944,,,
"",,Raya-Ghoraya,183040602,,,,403,305,708,,,
"",,Total:-,,,,,939,713,1652,2,2,4
75,"75-Govt. Boys PS Munday-Kay.(Combined) (P)",Natt.,183040603,,,,234,176,410,,,
"",,Bhatti-Ghoraya,183040604,,,,453,308,761,,,
"",,Munday -Kay,183040605,,,,431,303,734,,,
"",,Total:-,,,,,1118,787,1905,2,2,4
76,"76-Govt. Girls P/S Chandokey.(Combined) (P)",Chandokey,183040701,,,,367,234,601,,,
"",,Klair,183040704,,,,2,3,5,,,
"",,Habib Chak,183040705,,,,97,74,171,,,
"",,Jarowali,183040706,,,,221,163,384,,,
"",,Total:-,,,,,687,474,1161,1,1,2
